X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3
x0	8.5	4.68	8.92	2.11	3.65	c	b	c	b	c	2.38	0.91	5.19	3.1	8.86	a	b	c	b	a	9.92	0.02	8.13	9.53	7.9	c	a	c	c	a	3.96	7.81	0.33	3.45	3.39	a	a	a	c	a
x1	2.55	0	0.96	6.9	5.31	a	a	a	b	c	5.33	8.29	7.34	0.42	4.4	b	c	b	a	c	3.54	3.14	0.92	9.94	2.48	a	c	c	c	a	4.67	1.98	2.63	6.47	6.23	b	a	b	b	a
x2	8.13	8.1	1.12	1.12	1.24	b	a	a	b	b	3.94	5.45	9.8	9.8	1.02	a	b	a	b	b	4.79	5.33	1.35	8.95	4.06	b	a	a	a	b	5.11	4.55	5.38	5.13	5.89	b	b	c	b	b
x3	2.29	3.83	1.12	1.12	8.82	c	c	a	b	b	7.6	1.74	9.8	9.8	6.47	c	a	a	b	b	4.72	6.6	4.17	6.84	3.28	a	c	b	b	a	3.31	5.31	6.43	2.36	6.88	b	b	a	c	a
x4	8.59	4.15	9.36	3.85	9.94	b	b	c	b	b	6.58	9.89	6.95	7.47	9.42	c	c	a	c	a	2.7	6.61	2.47	5.45	2.05	c	c	a	a	a	7.47	0.37	0.02	5.85	7.9	b	c	b	c	a
x5	6.35	5.54	1.43	5.48	4.25	a	a	a	b	b	3.56	1.29	9.84	3.47	5.86	a	c	c	b	b	9.14	7.61	8.92	7.12	4.09	b	a	b	b	c	4.38	9.75	6.74	6.7	9.46	a	b	a	a	a
x6	3.86	1.62	1.12	1.12	2.14	b	b	a	b	b	2.76	1.09	9.8	9.8	7.7	a	a	a	b	b	5.91	5.28	1.05	5.18	4.98	c	c	b	b	a	5.67	4.5	8.32	5.24	6.22	b	a	b	c	c
x7	2.9	0.97	1.4	4.36	1.85	b	c	c	b	a	7.75	4.03	6.22	4.47	7	b	c	b	b	b	8.91	3.36	9.19	8.36	6.13	a	b	c	c	a	6.82	3.27	6.27	7.34	8.22	b	a	c	a	c
x8	6.95	4.51	7.05	6.59	2.78	a	b	c	c	b	1.73	4.69	9.28	5.87	1.74	a	b	a	b	c	9.7	6.42	0.63	6.08	5.46	a	a	a	b	b	2.17	1.22	8.86	3.59	7.71	c	b	b	a	c
x9	4.63	0.6	1.85	8.14	0.35	c	c	b	b	c	0.93	8.81	9.07	3.76	2.17	b	c	b	c	a	7.98	6.55	1.45	8.51	3.92	a	c	a	b	c	8.16	9.73	5.62	1.58	9.31	b	b	c	a	a
