Total of planted triclusters: 5
Number of planted numeric triclusters: 1
Number of planted symbolic triclusters: 2
Number of planted mixed triclusters: 2
Tricluster coverage: 13.155%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #2
 (193, 2, 2), X=[0,3,22,25,28,30,31,32,35,36,38,43,44,66,67,70,71,79,80,85,87,88,93,97,101,104,106,107,126,136,149,151,152,154,157,159,163,173,176,192,195,196,200,210,219,221,230,241,242,268,272,279,288,301,307,315,318,326,329,332,333,337,339,345,356,358,359,363,368,389,392,408,416,427,430,437,442,443,452,454,460,463,475,476,477,482,484,487,488,491,497,498,503,525,539,540,546,550,562,566,568,575,584,585,591,599,601,607,614,616,623,632,643,661,662,665,671,683,685,687,688,693,697,700,703,707,713,715,716,718,719,723,728,731,733,756,762,764,769,771,778,781,786,788,789,791,795,798,801,803,804,810,815,816,821,822,824,826,831,841,844,845,863,864,868,870,871,875,880,888,896,901,905,906,911,913,921,922,930,933,934,938,939,943,949,952,954,962,963,971,979,980,999], Y=[1,2], Z=[1,2], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=4.84,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1], ContextFactors=[1.9,0.79] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 1
X	y1	y2	
x0	9.19	9.19	
x3	9.19	9.19	
x22	9.19	9.19	
x25	9.19	9.19	
x28	9.19	9.19	
x30	9.19	9.19	
x31	9.19	9.19	
x32	9.19	9.19	
x35	9.19	9.19	
x36	9.19	9.19	
x38	9.19	9.19	
x43	9.19	9.19	
x44	9.19	9.19	
x66	9.19	9.19	
x67	9.19	9.19	
x70	9.19	9.19	
x71	9.19	9.19	
x79	9.19	9.19	
x80	9.19	9.19	
x85	9.19	9.19	
x87	9.19	9.19	
x88	9.19	9.19	
x93	9.19	9.19	
x97	9.19	9.19	
x101	9.19	9.19	
x104	9.19	9.19	
x106	9.19	9.19	
x107	9.19	9.19	
x126	9.19	9.19	
x136	9.19	9.19	
x149	9.19	9.19	
x151	9.19	9.19	
x152	9.19	9.19	
x154	9.19	9.19	
x157	9.19	9.19	
x159	9.19	9.19	
x163	9.19	9.19	
x173	9.19	9.19	
x176	9.19	9.19	
x192	9.19	9.19	
x195	9.19	9.19	
x196	9.19	9.19	
x200	9.19	9.19	
x210	9.19	9.19	
x219	9.19	9.19	
x221	9.19	9.19	
x230	9.19	9.19	
x241	9.19	9.19	
x242	9.19	9.19	
x268	9.19	9.19	
x272	9.19	9.19	
x279	9.19	9.19	
x288	9.19	9.19	
x301	9.19	9.19	
x307	9.19	9.19	
x315	9.19	9.19	
x318	9.19	9.19	
x326	9.19	9.19	
x329	9.19	9.19	
x332	9.19	9.19	
x333	9.19	9.19	
x337	9.19	9.19	
x339	9.19	9.19	
x345	9.19	9.19	
x356	9.19	9.19	
x358	9.19	9.19	
x359	9.19	9.19	
x363	9.19	9.19	
x368	9.19	9.19	
x389	9.19	9.19	
x392	9.19	9.19	
x408	9.19	9.19	
x416	9.19	9.19	
x427	9.19	9.19	
x430	9.19	9.19	
x437	9.19	9.19	
x442	9.19	9.19	
x443	9.19	9.19	
x452	9.19	9.19	
x454	9.19	9.19	
x460	9.19	9.19	
x463	9.19	9.19	
x475	9.19	9.19	
x476	9.19	9.19	
x477	9.19	9.19	
x482	9.19	9.19	
x484	9.19	9.19	
x487	9.19	9.19	
x488	9.19	9.19	
