Total of planted triclusters: 5
Number of planted numeric triclusters: 1
Number of planted symbolic triclusters: 2
Number of planted mixed triclusters: 2
Tricluster coverage: 13.355%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #2
 (174, 3, 2), X=[2,4,6,22,23,24,26,27,30,31,36,45,54,55,58,59,61,66,69,70,71,74,80,82,84,90,95,99,101,108,111,117,122,130,135,156,163,169,183,200,206,210,212,217,219,235,255,259,262,264,269,270,283,288,291,296,306,307,326,327,332,335,338,356,357,362,373,375,377,383,385,389,394,397,409,411,413,420,421,422,429,438,441,444,455,457,460,463,464,472,478,479,484,493,494,495,503,504,514,522,542,552,554,555,575,583,587,588,604,606,608,609,616,618,625,627,632,635,642,644,648,654,678,679,688,698,699,703,712,715,730,731,734,737,742,746,750,751,760,764,772,773,780,781,783,789,800,803,806,808,817,845,849,852,868,895,906,911,916,917,919,921,932,936,942,943,944,950,952,953,969,981,988,996], Y=[1,2,4], Z=[0,1], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=1.33,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1,1], ContextFactors=[0.42,3.98] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y1	y2	y4	
x2	0.56	0.56	0.56	
x4	0.56	0.56	0.56	
x6	0.56	0.56	0.56	
x22	0.56	0.56	0.56	
x23	0.56	0.56	0.56	
x24	0.56	0.56	0.56	
x26	0.56	0.56	0.56	
x27	0.56	0.56	0.56	
x30	0.56	0.56	0.56	
x31	0.56	0.56	0.56	
x36	0.56	0.56	0.56	
x45	0.56	0.56	0.56	
x54	0.56	0.56	0.56	
x55	0.56	0.56	0.56	
x58	0.56	0.56	0.56	
x59	0.56	0.56	0.56	
x61	0.56	0.56	0.56	
x66	0.56	0.56	0.56	
x69	0.56	0.56	0.56	
x70	0.56	0.56	0.56	
x71	0.56	0.56	0.56	
x74	0.56	0.56	0.56	
x80	0.56	0.56	0.56	
x82	0.56	0.56	0.56	
x84	0.56	0.56	0.56	
x90	0.56	0.56	0.56	
x95	0.56	0.56	0.56	
x99	0.56	0.56	0.56	
x101	0.56	0.56	0.56	
x108	0.56	0.56	0.56	
x111	0.56	0.56	0.56	
x117	0.56	0.56	0.56	
x122	0.56	0.56	0.56	
x130	0.56	0.56	0.56	
x135	0.56	0.56	0.56	
x156	0.56	0.56	0.56	
x163	0.56	0.56	0.56	
x169	0.56	0.56	0.56	
x183	0.56	0.56	0.56	
x200	0.56	0.56	0.56	
x206	0.56	0.56	0.56	
x210	0.56	0.56	0.56	
x212	0.56	0.56	0.56	
x217	0.56	0.56	0.56	
x219	0.56	0.56	0.56	
x235	0.56	0.56	0.56	
x255	0.56	0.56	0.56	
x259	0.56	0.56	0.56	
x262	0.56	0.56	0.56	
x264	0.56	0.56	0.56	
x269	0.56	0.56	0.56	
x270	0.56	0.56	0.56	
x283	0.56	0.56	0.56	
x288	0.56	0.56	0.56	
x291	0.56	0.56	0.56	
x296	0.56	0.56	0.56	
x306	0.56	0.56	0.56	
x307	0.56	0.56	0.56	
x326	0.56	0.56	0.56	
x327	0.56	0.56	0.56	
x332	0.56	0.56	0.56	
x335	0.56	0.56	0.56	
x338	0.56	0.56	0.56	
x356	0.56	0.56	0.56	
x357	0.56	0.56	0.56	
x362	0.56	0.56	0.56	
x373	0.56	0.56	0.56	
x375	0.56	0.56	0.56	
x377	0.56	0.56	0.56	
x383	0.56	0.56	0.56	
x385	0.56	0.56	0.56	
x389	0.56	0.56	0.56	
x394	0.56	0.56	0.56	
x397	0.56	0.56	0.56	
x409	0.56	0.56	0.56	
x411	0.56	0.56	0.56	
x413	0.56	0.56	0.56	
x420	0.56	0.56	0.56	
x421	0.56	0.56	0.56	
x422	0.56	0.56	0.56	
x429	0.56	0.56	0.56	
x438	0.56	0.56	0.56	
x441	0.56	0.56	0.56	
x444	0.56	0.56	0.56	
x455	0.56	0.56	0.56	
x457	0.56	0.56	0.56	
x460	0.56	0.56	0.56	
x463	0.56	0.56	0.56	
x464	0.56	0.56	0.56	
x472	0.56	0.56	0.56	
x478	0.56	0.56	0.56	
x479	0.56	0.56	0.56	
x484	0.56	0.56	0.56	
x493	0.56	0.56	0.56	
x494	0.56	0.56	0.56	
x495	0.56	0.56	0.56	
x503	0.56	0.56	0.56	
x504	0.56	0.56	0.56	
x514	0.56	0.56	0.56	
x522	0.56	0.56	0.56	
x542	0.56	0.56	0.56	
x552	0.56	0.56	0.56	
x554	0.56	0.56	0.56	
x555	0.56	0.56	0.56	
x575	0.56	0.56	0.56	
x583	0.56	0.56	0.56	
x587	0.56	0.56	0.56	
x588	0.56	0.56	0.56	
x604	0.56	0.56	0.56	
x606	0.56	0.56	0.56	
x608	0.56	0.56	0.56	
x609	0.56	0.56	0.56	
x616	0.56	0.56	0.56	
x618	0.56	0.56	0.56	
x625	0.56	0.56	0.56	
x627	0.56	0.56	0.56	
x632	0.56	0.56	0.56	
x635	0.56	0.56	0.56	
x642	0.56	0.56	0.56	
x644	0.56	0.56	0.56	
x648	0.56	0.56	0.56	
x654	0.56	0.56	0.56	
x678	0.56	0.56	0.56	
x679	0.56	0.56	0.56	
x688	0.56	0.56	0.56	
x698	0.56	0.56	0.56	
x699	0.56	0.56	0.56	
x703	0.56	0.56	0.56	
x712	0.56	0.56	0.56	
x715	0.56	0.56	0.56	
x730	0.56	0.56	0.56	
x731	0.56	0.56	0.56	
x734	0.56	0.56	0.56	
x737	0.56	0.56	0.56	
x742	0.56	0.56	0.56	
x746	0.56	0.56	0.56	
x750	0.56	0.56	0.56	
x751	0.56	0.56	0.56	
x760	0.56	0.56	0.56	
x764	0.56	0.56	0.56	
x772	0.56	0.56	0.56	
x773	0.56	0.56	0.56	
x780	0.56	0.56	0.56	
x781	0.56	0.56	0.56	
x783	0.56	0.56	0.56	
x789	0.56	0.56	0.56	
x800	0.56	0.56	0.56	
x803	0.56	0.56	0.56	
x806	0.56	0.56	0.56	
x808	0.56	0.56	0.56	
x817	0.56	0.56	0.56	
x845	0.56	0.56	0.56	
x849	0.56	0.56	0.56	
x852	0.56	0.56	0.56	
x868	0.56	0.56	0.56	
x895	0.56	0.56	0.56	
x906	0.56	0.56	0.56	
x911	0.56	0.56	0.56	
