Total of planted triclusters: 5
Number of planted numeric triclusters: 3
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 1
Tricluster coverage: 13.745%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (187, 3, 2), X=[3,8,14,19,23,26,32,36,41,52,56,72,75,79,83,92,96,97,101,103,117,138,147,149,152,153,155,157,159,165,166,179,180,182,186,205,210,214,221,225,227,230,234,235,239,251,253,257,258,259,282,284,289,298,299,304,306,309,318,319,325,335,352,358,361,366,367,375,376,379,380,382,383,385,391,392,407,408,415,425,426,427,435,438,441,444,446,447,449,452,460,461,469,477,479,482,485,488,490,495,498,517,518,521,525,533,536,539,541,544,546,547,548,550,553,562,568,572,573,576,577,580,581,590,594,599,601,607,625,632,634,665,670,671,673,678,692,694,696,697,698,712,715,717,732,735,755,759,761,777,778,789,791,793,795,815,819,822,825,826,827,828,836,837,861,866,868,871,877,879,882,883,888,900,915,925,938,949,950,954,959,960,969,970,973,981,988], Y=[0,2,3], Z=[0,1], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Additive, Seed=8.02,  RowFactors=[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0], ColumnFactors=[0,0,0], ContextFactors=[1.05,-5.07] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y0	y2	y3	
x3	9.08	9.08	9.08	
x8	9.08	9.08	9.08	
x14	9.08	9.08	9.08	
x19	9.08	9.08	9.08	
x23	9.08	9.08	9.08	
x26	9.08	9.08	9.08	
x32	9.08	9.08	9.08	
x36	9.08	9.08	9.08	
x41	9.08	9.08	9.08	
x52	9.08	9.08	9.08	
x56	9.08	9.08	9.08	
x72	9.08	9.08	9.08	
x75	9.08	9.08	9.08	
x79	9.08	9.08	9.08	
x83	9.08	9.08	9.08	
x92	9.08	9.08	9.08	
x96	9.08	9.08	9.08	
x97	9.08	9.08	9.08	
x101	9.08	9.08	9.08	
x103	9.08	9.08	9.08	
x117	9.08	9.08	9.08	
x138	9.08	9.08	9.08	
x147	9.08	9.08	9.08	
x149	9.08	9.08	9.08	
x152	9.08	9.08	9.08	
x153	9.08	9.08	9.08	
x155	9.08	9.08	9.08	
x157	9.08	9.08	9.08	
x159	9.08	9.08	9.08	
x165	9.08	9.08	9.08	
x166	9.08	9.08	9.08	
x179	9.08	9.08	9.08	
x180	9.08	9.08	9.08	
x182	9.08	9.08	9.08	
x186	9.08	9.08	9.08	
x205	9.08	9.08	9.08	
x210	9.08	9.08	9.08	
x214	9.08	9.08	9.08	
x221	9.08	9.08	9.08	
x225	9.08	9.08	9.08	
x227	9.08	9.08	9.08	
x230	9.08	9.08	9.08	
x234	9.08	9.08	9.08	
x235	9.08	9.08	9.08	
x239	9.08	9.08	9.08	
x251	9.08	9.08	9.08	
x253	9.08	9.08	9.08	
x257	9.08	9.08	9.08	
x258	9.08	9.08	9.08	
x259	9.08	9.08	9.08	
x282	9.08	9.08	9.08	
x284	9.08	9.08	9.08	
x289	9.08	9.08	9.08	
x298	9.08	9.08	9.08	
x299	9.08	9.08	9.08	
x304	9.08	9.08	9.08	
x306	9.08	9.08	9.08	
x309	9.08	9.08	9.08	
x318	9.08	9.08	9.08	
x319	9.08	9.08	9.08	
x325	9.08	9.08	9.08	
x335	9.08	9.08	9.08	
x352	9.08	9.08	9.08	
x358	9.08	9.08	9.08	
x361	9.08	9.08	9.08	
x366	9.08	9.08	9.08	
