Total of planted triclusters: 6
Number of planted numeric triclusters: 4
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 1
Tricluster coverage: 11.899999999999999%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (171, 3, 2), X=[0,11,29,70,74,79,96,107,110,114,124,128,129,134,155,157,160,168,186,206,214,219,221,225,240,241,252,264,279,280,286,301,305,312,320,322,329,340,354,361,363,372,379,400,402,407,409,417,420,430,435,436,443,448,461,462,465,471,482,498,518,519,527,530,539,543,577,611,626,638,655,663,664,672,676,683,698,700,704,727,732,742,747,759,765,766,774,776,777,778,788,808,815,820,824,827,832,834,843,849,878,887,891,900,915,918,926,931,934,960,962,970,995,1002,1016,1023,1024,1031,1052,1056,1057,1069,1070,1073,1074,1083,1084,1107,1110,1133,1146,1148,1150,1168,1177,1187,1192,1198,1203,1207,1210,1215,1226,1235,1241,1265,1268,1273,1283,1297,1306,1308,1321,1333,1337,1352,1371,1394,1407,1408,1409,1420,1426,1443,1445,1446,1458,1465,1468,1472,1489], Y=[0,3,4], Z=[0,1], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Additive, Seed=7.81,  RowFactors=[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0], ColumnFactors=[0,0,0], ContextFactors=[-1.99,-3.57] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y0	y3	y4	
x0	5.82	5.82	5.82	
x11	5.82	5.82	5.82	
x29	5.82	5.82	5.82	
x70	5.82	5.82	5.82	
x74	5.82	5.82	5.82	
x79	5.82	5.82	5.82	
x96	5.82	5.82	5.82	
x107	5.82	5.82	5.82	
x110	5.82	5.82	5.82	
x114	5.82	5.82	5.82	
x124	5.82	5.82	5.82	
x128	5.82	5.82	5.82	
x129	5.82	5.82	5.82	
x134	5.82	5.82	5.82	
x155	5.82	5.82	5.82	
x157	5.82	5.82	5.82	
x160	5.82	5.82	5.82	
x168	5.82	5.82	5.82	
x186	5.82	5.82	5.82	
x206	5.82	5.82	5.82	
x214	5.82	5.82	5.82	
x219	5.82	5.82	5.82	
x221	5.82	5.82	5.82	
x225	5.82	5.82	5.82	
x240	5.82	5.82	5.82	
x241	5.82	5.82	5.82	
x252	5.82	5.82	5.82	
x264	5.82	5.82	5.82	
x279	5.82	5.82	5.82	
x280	5.82	5.82	5.82	
x286	5.82	5.82	5.82	
x301	5.82	5.82	5.82	
x305	5.82	5.82	5.82	
x312	5.82	5.82	5.82	
x320	5.82	5.82	5.82	
x322	5.82	5.82	5.82	
x329	5.82	5.82	5.82	
x340	5.82	5.82	5.82	
x354	5.82	5.82	5.82	
x361	5.82	5.82	5.82	
x363	5.82	5.82	5.82	
x372	5.82	5.82	5.82	
x379	5.82	5.82	5.82	
x400	5.82	5.82	5.82	
x402	5.82	5.82	5.82	
x407	5.82	5.82	5.82	
x409	5.82	5.82	5.82	
x417	5.82	5.82	5.82	
x420	5.82	5.82	5.82	
x430	5.82	5.82	5.82	
x435	5.82	5.82	5.82	
x436	5.82	5.82	5.82	
x443	5.82	5.82	5.82	
x448	5.82	5.82	5.82	
x461	5.82	5.82	5.82	
x462	5.82	5.82	5.82	
x465	5.82	5.82	5.82	
x471	5.82	5.82	5.82	
x482	5.82	5.82	5.82	
x498	5.82	5.82	5.82	
x518	5.82	5.82	5.82	
x519	5.82	5.82	5.82	
x527	5.82	5.82	5.82	
x530	5.82	5.82	5.82	
x539	5.82	5.82	5.82	
x543	5.82	5.82	5.82	
x577	5.82	5.82	5.82	
x611	5.82	5.82	5.82	
x626	5.82	5.82	5.82	
x638	5.82	5.82	5.82	
x655	5.82	5.82	5.82	
x663	5.82	5.82	5.82	
x664	5.82	5.82	5.82	
x672	5.82	5.82	5.82	
x676	5.82	5.82	5.82	
x683	5.82	5.82	5.82	
x698	5.82	5.82	5.82	
x700	5.82	5.82	5.82	
x704	5.82	5.82	5.82	
x727	5.82	5.82	5.82	
x732	5.82	5.82	5.82	
x742	5.82	5.82	5.82	
x747	5.82	5.82	5.82	
x759	5.82	5.82	5.82	
x765	5.82	5.82	5.82	
x766	5.82	5.82	5.82	
x774	5.82	5.82	5.82	
x776	5.82	5.82	5.82	
x777	5.82	5.82	5.82	
x778	5.82	5.82	5.82	
x788	5.82	5.82	5.82	
x808	5.82	5.82	5.82	
x815	5.82	5.82	5.82	
x820	5.82	5.82	5.82	
x824	5.82	5.82	5.82	
x827	5.82	5.82	5.82	
x832	5.82	5.82	5.82	
x834	5.82	5.82	5.82	
x843	5.82	5.82	5.82	
x849	5.82	5.82	5.82	
x878	5.82	5.82	5.82	
x887	5.82	5.82	5.82	
x891	5.82	5.82	5.82	
x900	5.82	5.82	5.82	
x915	5.82	5.82	5.82	
x918	5.82	5.82	5.82	
x926	5.82	5.82	5.82	
x931	5.82	5.82	5.82	
x934	5.82	5.82	5.82	
x960	5.82	5.82	5.82	
x962	5.82	5.82	5.82	
x970	5.82	5.82	5.82	
x995	5.82	5.82	5.82	
x1002	5.82	5.82	5.82	
x1016	5.82	5.82	5.82	
x1023	5.82	5.82	5.82	
x1024	5.82	5.82	5.82	
x1031	5.82	5.82	5.82	
