Total of planted triclusters: 6
Number of planted numeric triclusters: 2
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 3
Tricluster coverage: 15.833333333333332%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (195, 2, 2), X=[2,11,20,25,27,49,61,69,84,90,102,108,125,128,136,149,151,159,161,166,170,180,188,205,211,217,233,234,238,244,257,265,267,270,275,294,300,305,315,317,330,340,360,369,373,374,377,382,383,394,402,403,408,411,421,439,448,484,490,509,516,524,525,527,536,542,548,551,554,555,557,559,586,606,617,623,629,630,643,647,651,659,660,679,685,690,697,700,702,706,717,719,721,727,732,734,735,737,739,743,747,749,752,766,770,809,811,814,828,838,849,864,880,888,897,902,904,905,910,934,936,937,952,965,978,985,1006,1022,1031,1056,1069,1070,1074,1075,1077,1084,1087,1106,1111,1115,1137,1141,1144,1147,1163,1164,1172,1191,1198,1209,1219,1252,1254,1256,1257,1277,1278,1280,1318,1322,1327,1331,1333,1335,1337,1346,1350,1351,1353,1358,1364,1369,1378,1390,1393,1395,1402,1405,1410,1411,1417,1420,1427,1438,1443,1444,1448,1458,1462,1472,1473,1479,1487,1494,1498], Y=[1,3], Z=[1,2], RowPattern=Constant, ColumnPattern=None, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 1
X	y1	y3	
x2	7.59	0.24	
x11	7.59	0.24	
x20	7.59	0.24	
x25	7.59	0.24	
x27	7.59	0.24	
x49	7.59	0.24	
x61	7.59	0.24	
x69	7.59	0.24	
x84	7.59	0.24	
x90	7.59	0.24	
x102	7.59	0.24	
x108	7.59	0.24	
x125	7.59	0.24	
x128	7.59	0.24	
x136	7.59	0.24	
x149	7.59	0.24	
x151	7.59	0.24	
x159	7.59	0.24	
x161	7.59	0.24	
x166	7.59	0.24	
x170	7.59	0.24	
x180	7.59	0.24	
x188	7.59	0.24	
x205	7.59	0.24	
x211	7.59	0.24	
x217	7.59	0.24	
x233	7.59	0.24	
x234	7.59	0.24	
x238	7.59	0.24	
x244	7.59	0.24	
x257	7.59	0.24	
x265	7.59	0.24	
x267	7.59	0.24	
x270	7.59	0.24	
x275	7.59	0.24	
x294	7.59	0.24	
x300	7.59	0.24	
x305	7.59	0.24	
x315	7.59	0.24	
x317	7.59	0.24	
x330	7.59	0.24	
x340	7.59	0.24	
x360	7.59	0.24	
x369	7.59	0.24	
x373	7.59	0.24	
x374	7.59	0.24	
x377	7.59	0.24	
x382	7.59	0.24	
x383	7.59	0.24	
x394	7.59	0.24	
x402	7.59	0.24	
x403	7.59	0.24	
x408	7.59	0.24	
x411	7.59	0.24	
x421	7.59	0.24	
x439	7.59	0.24	
x448	7.59	0.24	
x484	7.59	0.24	
x490	7.59	0.24	
x509	7.59	0.24	
x516	7.59	0.24	
x524	7.59	0.24	
x525	7.59	0.24	
x527	7.59	0.24	
x536	7.59	0.24	
x542	7.59	0.24	
x548	7.59	0.24	
x551	7.59	0.24	
x554	7.59	0.24	
x555	7.59	0.24	
x557	7.59	0.24	
x559	7.59	0.24	
x586	7.59	0.24	
x606	7.59	0.24	
x617	7.59	0.24	
x623	7.59	0.24	
x629	7.59	0.24	
x630	7.59	0.24	
x643	7.59	0.24	
x647	7.59	0.24	
x651	7.59	0.24	
x659	7.59	0.24	
x660	7.59	0.24	
x679	7.59	0.24	
x685	7.59	0.24	
x690	7.59	0.24	
x697	7.59	0.24	
x700	7.59	0.24	
x702	7.59	0.24	
x706	7.59	0.24	
x717	7.59	0.24	
x719	7.59	0.24	
x721	7.59	0.24	
x727	7.59	0.24	
x732	7.59	0.24	
x734	7.59	0.24	
x735	7.59	0.24	
x737	7.59	0.24	
x739	7.59	0.24	
x743	7.59	0.24	
x747	7.59	0.24	
x749	7.59	0.24	
x752	7.59	0.24	
x766	7.59	0.24	
x770	7.59	0.24	
x809	7.59	0.24	
x811	7.59	0.24	
x814	7.59	0.24	
x828	7.59	0.24	
x838	7.59	0.24	
x849	7.59	0.24	
x864	7.59	0.24	
x880	7.59	0.24	
x888	7.59	0.24	
x897	7.59	0.24	
x902	7.59	0.24	
x904	7.59	0.24	
x905	7.59	0.24	
x910	7.59	0.24	
x934	7.59	0.24	
x936	7.59	0.24	
x937	7.59	0.24	
x952	7.59	0.24	
x965	7.59	0.24	
x978	7.59	0.24	
x985	7.59	0.24	
x1006	7.59	0.24	
x1022	7.59	0.24	
x1031	7.59	0.24	
x1056	7.59	0.24	
x1069	7.59	0.24	
x1070	7.59	0.24	
x1074	7.59	0.24	
x1075	7.59	0.24	
x1077	7.59	0.24	
x1084	7.59	0.24	
x1087	7.59	0.24	
x1106	7.59	0.24	
x1111	7.59	0.24	
x1115	7.59	0.24	
x1137	7.59	0.24	
x1141	7.59	0.24	
x1144	7.59	0.24	
x1147	7.59	0.24	
x1163	7.59	0.24	
x1164	7.59	0.24	
x1172	7.59	0.24	
x1191	7.59	0.24	
x1198	7.59	0.24	
x1209	7.59	0.24	
x1219	7.59	0.24	
x1252	7.59	0.24	
x1254	7.59	0.24	
x1256	7.59	0.24	
x1257	7.59	0.24	
x1277	7.59	0.24	
x1278	7.59	0.24	
x1280	7.59	0.24	
x1318	7.59	0.24	
x1322	7.59	0.24	
x1327	7.59	0.24	
x1331	7.59	0.24	
x1333	7.59	0.24	
x1335	7.59	0.24	
x1337	7.59	0.24	
x1346	7.59	0.24	
x1350	7.59	0.24	
x1351	7.59	0.24	
x1353	7.59	0.24	
x1358	7.59	0.24	
x1364	7.59	0.24	
x1369	7.59	0.24	
x1378	7.59	0.24	
x1390	7.59	0.24	
x1393	7.59	0.24	
x1395	7.59	0.24	
x1402	7.59	0.24	
x1405	7.59	0.24	
x1410	7.59	0.24	
x1411	7.59	0.24	
x1417	7.59	0.24	
x1420	7.59	0.24	
x1427	7.59	0.24	
x1438	7.59	0.24	
x1443	7.59	0.24	
x1444	7.59	0.24	
x1448	7.59	0.24	
x1458	7.59	0.24	
x1462	7.59	0.24	
x1472	7.59	0.24	
x1473	7.59	0.24	
x1479	7.59	0.24	
x1487	7.59	0.24	
x1494	7.59	0.24	
x1498	7.59	0.24	

Context: 2
X	y1	y3	
x2	7.59	0.24	
x11	7.59	0.24	
x20	7.59	0.24	
x25	7.59	0.24	
x27	7.59	0.24	
x49	7.59	0.24	
x61	7.59	0.24	
x69	7.59	0.24	
x84	7.59	0.24	
x90	7.59	0.24	
x102	7.59	0.24	
x108	7.59	0.24	
x125	7.59	0.24	
x128	7.59	0.24	
x136	7.59	0.24	
x149	7.59	0.24	
x151	7.59	0.24	
x159	7.59	0.24	
x161	7.59	0.24	
x166	7.59	0.24	
x170	7.59	0.24	
x180	7.59	0.24	
x188	7.59	0.24	
x205	7.59	0.24	
x211	7.59	0.24	
x217	7.59	0.24	
x233	7.59	0.24	
x234	7.59	0.24	
x238	7.59	0.24	
x244	7.59	0.24	
x257	7.59	0.24	
x265	7.59	0.24	
x267	7.59	0.24	
x270	7.59	0.24	
x275	7.59	0.24	
x294	7.59	0.24	
x300	7.59	0.24	
x305	7.59	0.24	
x315	7.59	0.24	
x317	7.59	0.24	
x330	7.59	0.24	
x340	7.59	0.24	
x360	7.59	0.24	
x369	7.59	0.24	
x373	7.59	0.24	
x374	7.59	0.24	
x377	7.59	0.24	
x382	7.59	0.24	
x383	7.59	0.24	
x394	7.59	0.24	
x402	7.59	0.24	
x403	7.59	0.24	
x408	7.59	0.24	
x411	7.59	0.24	
x421	7.59	0.24	
x439	7.59	0.24	
x448	7.59	0.24	
x484	7.59	0.24	
x490	7.59	0.24	
x509	7.59	0.24	
x516	7.59	0.24	
x524	7.59	0.24	
x525	7.59	0.24	
x527	7.59	0.24	
x536	7.59	0.24	
x542	7.59	0.24	
x548	7.59	0.24	
x551	7.59	0.24	
x554	7.59	0.24	
x555	7.59	0.24	
x557	7.59	0.24	
x559	7.59	0.24	
x586	7.59	0.24	
x606	7.59	0.24	
x617	7.59	0.24	
x623	7.59	0.24	
x629	7.59	0.24	
x630	7.59	0.24	
x643	7.59	0.24	
x647	7.59	0.24	
x651	7.59	0.24	
x659	7.59	0.24	
x660	7.59	0.24	
x679	7.59	0.24	
x685	7.59	0.24	
x690	7.59	0.24	
x697	7.59	0.24	
x700	7.59	0.24	
x702	7.59	0.24	
x706	7.59	0.24	
x717	7.59	0.24	
x719	7.59	0.24	
x721	7.59	0.24	
x727	7.59	0.24	
x732	7.59	0.24	
x734	7.59	0.24	
x735	7.59	0.24	
x737	7.59	0.24	
x739	7.59	0.24	
x743	7.59	0.24	
x747	7.59	0.24	
x749	7.59	0.24	
x752	7.59	0.24	
x766	7.59	0.24	
x770	7.59	0.24	
x809	7.59	0.24	
x811	7.59	0.24	
x814	7.59	0.24	
x828	7.59	0.24	
x838	7.59	0.24	
x849	7.59	0.24	
x864	7.59	0.24	
x880	7.59	0.24	
x888	7.59	0.24	
x897	7.59	0.24	
x902	7.59	0.24	
x904	7.59	0.24	
x905	7.59	0.24	
x910	7.59	0.24	
x934	7.59	0.24	
x936	7.59	0.24	
x937	7.59	0.24	
x952	7.59	0.24	
x965	7.59	0.24	
x978	7.59	0.24	
