Total of planted triclusters: 6
Number of planted numeric triclusters: 1
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 4
Tricluster coverage: 22.726666666666667%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (288, 3, 2), X=[11,16,21,25,26,41,42,44,51,54,55,59,60,68,76,84,93,98,100,101,102,103,104,111,113,117,126,145,146,158,161,164,171,172,183,187,189,190,192,199,200,202,212,231,234,238,240,244,245,246,254,267,268,282,296,302,312,322,325,326,337,350,352,355,359,367,368,394,398,402,405,407,408,410,418,420,421,426,430,431,436,439,443,445,448,456,457,460,464,467,477,479,492,496,502,504,505,521,523,524,533,537,538,547,551,554,561,563,564,566,570,573,577,580,581,586,591,592,593,594,595,596,597,617,620,623,630,635,639,643,646,657,658,664,688,693,694,696,699,700,711,724,726,731,734,743,745,747,750,753,772,775,783,784,786,799,811,814,815,823,826,827,828,832,850,857,859,864,888,891,894,898,901,902,915,919,934,935,936,939,946,947,954,960,973,975,976,980,981,1005,1018,1019,1022,1023,1028,1032,1035,1037,1045,1047,1051,1058,1062,1064,1067,1070,1077,1083,1087,1091,1094,1096,1099,1101,1105,1109,1110,1119,1121,1131,1145,1151,1152,1154,1158,1159,1162,1166,1168,1175,1177,1180,1182,1183,1186,1199,1200,1202,1209,1210,1214,1215,1216,1232,1235,1251,1254,1259,1261,1282,1287,1298,1299,1302,1303,1307,1316,1319,1321,1322,1326,1328,1330,1334,1336,1366,1369,1373,1375,1379,1393,1394,1403,1415,1416,1419,1420,1424,1431,1437,1439,1442,1445,1449,1457,1475,1487,1494], Y=[1,2,3], Z=[1,2], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Additive, Seed=0.29,  RowFactors=[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0], ColumnFactors=[0,0,0], ContextFactors=[2.82,3.92] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 1
X	y1	y2	y3	
x11	3.11	3.11	3.11	
x16	3.11	3.11	3.11	
x21	3.11	3.11	3.11	
x25	3.11	3.11	3.11	
x26	3.11	3.11	3.11	
x41	3.11	3.11	3.11	
x42	3.11	3.11	3.11	
x44	3.11	3.11	3.11	
x51	3.11	3.11	3.11	
x54	3.11	3.11	3.11	
x55	3.11	3.11	3.11	
x59	3.11	3.11	3.11	
x60	3.11	3.11	3.11	
x68	3.11	3.11	3.11	
x76	3.11	3.11	3.11	
x84	3.11	3.11	3.11	
x93	3.11	3.11	3.11	
x98	3.11	3.11	3.11	
x100	3.11	3.11	3.11	
x101	3.11	3.11	3.11	
x102	3.11	3.11	3.11	
x103	3.11	3.11	3.11	
x104	3.11	3.11	3.11	
x111	3.11	3.11	3.11	
x113	3.11	3.11	3.11	
x117	3.11	3.11	3.11	
x126	3.11	3.11	3.11	
x145	3.11	3.11	3.11	
x146	3.11	3.11	3.11	
x158	3.11	3.11	3.11	
x161	3.11	3.11	3.11	
x164	3.11	3.11	3.11	
x171	3.11	3.11	3.11	
x172	3.11	3.11	3.11	
x183	3.11	3.11	3.11	
x187	3.11	3.11	3.11	
x189	3.11	3.11	3.11	
x190	3.11	3.11	3.11	
x192	3.11	3.11	3.11	
x199	3.11	3.11	3.11	
x200	3.11	3.11	3.11	
x202	3.11	3.11	3.11	
x212	3.11	3.11	3.11	
x231	3.11	3.11	3.11	
x234	3.11	3.11	3.11	
x238	3.11	3.11	3.11	
x240	3.11	3.11	3.11	
x244	3.11	3.11	3.11	
x245	3.11	3.11	3.11	
x246	3.11	3.11	3.11	
x254	3.11	3.11	3.11	
x267	3.11	3.11	3.11	
x268	3.11	3.11	3.11	
x282	3.11	3.11	3.11	
x296	3.11	3.11	3.11	
x302	3.11	3.11	3.11	
x312	3.11	3.11	3.11	
x322	3.11	3.11	3.11	
x325	3.11	3.11	3.11	
x326	3.11	3.11	3.11	
x337	3.11	3.11	3.11	
x350	3.11	3.11	3.11	
x352	3.11	3.11	3.11	
x355	3.11	3.11	3.11	
x359	3.11	3.11	3.11	
x367	3.11	3.11	3.11	
x368	3.11	3.11	3.11	
x394	3.11	3.11	3.11	
x398	3.11	3.11	3.11	
x402	3.11	3.11	3.11	
x405	3.11	3.11	3.11	
x407	3.11	3.11	3.11	
x408	3.11	3.11	3.11	
x410	3.11	3.11	3.11	
x418	3.11	3.11	3.11	
x420	3.11	3.11	3.11	
x421	3.11	3.11	3.11	
x426	3.11	3.11	3.11	
x430	3.11	3.11	3.11	
x431	3.11	3.11	3.11	
x436	3.11	3.11	3.11	
x439	3.11	3.11	3.11	
x443	3.11	3.11	3.11	
x445	3.11	3.11	3.11	
x448	3.11	3.11	3.11	
x456	3.11	3.11	3.11	
x457	3.11	3.11	3.11	
x460	3.11	3.11	3.11	
x464	3.11	3.11	3.11	
x467	3.11	3.11	3.11	
x477	3.11	3.11	3.11	
x479	3.11	3.11	3.11	
x492	3.11	3.11	3.11	
x496	3.11	3.11	3.11	
x502	3.11	3.11	3.11	
x504	3.11	3.11	3.11	
x505	3.11	3.11	3.11	
