Total of planted triclusters: 6
Number of planted numeric triclusters: 3
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 2
Tricluster coverage: 14.610000000000001%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (299, 3, 2), X=[1,3,6,11,13,21,28,30,34,36,39,42,44,60,68,74,76,78,79,83,87,88,91,94,96,107,110,113,116,119,124,128,134,135,136,141,142,148,149,156,175,180,187,193,195,200,201,205,212,213,214,215,217,227,228,229,232,237,244,248,249,252,257,258,265,272,275,280,281,286,293,298,302,319,320,324,328,329,342,349,359,372,374,379,386,390,396,397,403,413,425,430,431,435,436,437,438,443,449,452,454,456,461,467,468,470,471,472,477,485,490,494,498,504,505,508,519,536,537,540,545,553,558,559,562,563,564,566,572,575,580,586,587,589,591,597,604,607,617,634,642,650,653,665,668,669,670,674,677,683,688,705,707,712,722,733,744,751,758,762,765,766,771,776,778,780,784,795,801,805,809,810,811,813,814,818,820,829,832,844,848,850,867,872,877,880,885,893,899,906,907,908,919,927,930,931,932,945,957,962,963,967,981,1004,1006,1007,1017,1023,1025,1030,1041,1045,1050,1054,1057,1058,1065,1083,1085,1087,1088,1097,1102,1109,1110,1111,1112,1113,1127,1140,1142,1152,1158,1162,1163,1167,1170,1172,1175,1183,1197,1204,1205,1206,1222,1228,1230,1237,1240,1246,1253,1254,1263,1275,1277,1278,1283,1288,1295,1298,1300,1303,1305,1308,1314,1316,1317,1332,1333,1343,1345,1367,1368,1377,1384,1389,1395,1398,1410,1417,1420,1422,1424,1427,1436,1442,1444,1450,1453,1463,1464,1465,1467,1469,1476,1489,1495,1497,1498], Y=[0,2,4], Z=[0,1], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=1.62,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1,1], ContextFactors=[5.74,0.84] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y0	y2	y4	
x1	9.27	9.27	9.27	
x3	9.27	9.27	9.27	
x6	9.27	9.27	9.27	
x11	9.27	9.27	9.27	
x13	9.27	9.27	9.27	
x21	9.27	9.27	9.27	
x28	9.27	9.27	9.27	
x30	9.27	9.27	9.27	
x34	9.27	9.27	9.27	
x36	9.27	9.27	9.27	
x39	9.27	9.27	9.27	
x42	9.27	9.27	9.27	
x44	9.27	9.27	9.27	
x60	9.27	9.27	9.27	
x68	9.27	9.27	9.27	
x74	9.27	9.27	9.27	
x76	9.27	9.27	9.27	
x78	9.27	9.27	9.27	
x79	9.27	9.27	9.27	
x83	9.27	9.27	9.27	
x87	9.27	9.27	9.27	
x88	9.27	9.27	9.27	
x91	9.27	9.27	9.27	
x94	9.27	9.27	9.27	
x96	9.27	9.27	9.27	
x107	9.27	9.27	9.27	
x110	9.27	9.27	9.27	
x113	9.27	9.27	9.27	
x116	9.27	9.27	9.27	
x119	9.27	9.27	9.27	
x124	9.27	9.27	9.27	
x128	9.27	9.27	9.27	
x134	9.27	9.27	9.27	
x135	9.27	9.27	9.27	
x136	9.27	9.27	9.27	
x141	9.27	9.27	9.27	
x142	9.27	9.27	9.27	
x148	9.27	9.27	9.27	
x149	9.27	9.27	9.27	
x156	9.27	9.27	9.27	
x175	9.27	9.27	9.27	
x180	9.27	9.27	9.27	
x187	9.27	9.27	9.27	
x193	9.27	9.27	9.27	
x195	9.27	9.27	9.27	
x200	9.27	9.27	9.27	
x201	9.27	9.27	9.27	
x205	9.27	9.27	9.27	
x212	9.27	9.27	9.27	
x213	9.27	9.27	9.27	
x214	9.27	9.27	9.27	
x215	9.27	9.27	9.27	
x217	9.27	9.27	9.27	
x227	9.27	9.27	9.27	
x228	9.27	9.27	9.27	
x229	9.27	9.27	9.27	
x232	9.27	9.27	9.27	
x237	9.27	9.27	9.27	
x244	9.27	9.27	9.27	
x248	9.27	9.27	9.27	
x249	9.27	9.27	9.27	
x252	9.27	9.27	9.27	
x257	9.27	9.27	9.27	
x258	9.27	9.27	9.27	
x265	9.27	9.27	9.27	
x272	9.27	9.27	9.27	
x275	9.27	9.27	9.27	
x280	9.27	9.27	9.27	
x281	9.27	9.27	9.27	
x286	9.27	9.27	9.27	
x293	9.27	9.27	9.27	
x298	9.27	9.27	9.27	
x302	9.27	9.27	9.27	
x319	9.27	9.27	9.27	
x320	9.27	9.27	9.27	
x324	9.27	9.27	9.27	
x328	9.27	9.27	9.27	
x329	9.27	9.27	9.27	
x342	9.27	9.27	9.27	
x349	9.27	9.27	9.27	
x359	9.27	9.27	9.27	
x372	9.27	9.27	9.27	
x374	9.27	9.27	9.27	
x379	9.27	9.27	9.27	
x386	9.27	9.27	9.27	
x390	9.27	9.27	9.27	
x396	9.27	9.27	9.27	
x397	9.27	9.27	9.27	
x403	9.27	9.27	9.27	
x413	9.27	9.27	9.27	
x425	9.27	9.27	9.27	
x430	9.27	9.27	9.27	
x431	9.27	9.27	9.27	
x435	9.27	9.27	9.27	
x436	9.27	9.27	9.27	
x437	9.27	9.27	9.27	
x438	9.27	9.27	9.27	
x443	9.27	9.27	9.27	
x449	9.27	9.27	9.27	
x452	9.27	9.27	9.27	
