Total of planted triclusters: 6
Number of planted numeric triclusters: 1
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 4
Tricluster coverage: 17.766666666666666%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (264, 2, 2), X=[13,14,38,39,41,51,58,63,68,72,80,82,84,92,98,108,112,114,117,120,121,133,135,137,146,147,159,160,164,170,172,186,189,193,206,208,209,219,222,224,226,239,241,252,258,264,267,271,281,284,287,291,292,297,301,312,315,324,334,343,344,347,350,359,362,373,378,382,390,395,397,402,403,408,415,422,424,427,428,431,437,445,464,474,484,489,499,501,510,515,525,528,532,538,539,546,548,557,562,565,567,568,570,573,576,579,580,581,585,591,601,603,612,626,637,643,649,654,656,668,674,679,683,690,692,702,706,714,715,717,718,726,734,741,744,746,752,754,762,764,774,780,783,784,786,789,793,797,803,809,810,812,832,834,838,842,846,847,851,863,870,875,876,877,887,890,894,900,913,918,920,921,923,924,930,931,936,942,944,960,962,967,983,985,986,991,998,1005,1011,1014,1019,1021,1026,1036,1039,1048,1052,1055,1062,1064,1077,1082,1087,1097,1099,1112,1117,1119,1120,1128,1133,1149,1153,1167,1170,1171,1184,1185,1191,1195,1199,1203,1212,1222,1224,1225,1232,1233,1239,1250,1259,1261,1274,1276,1282,1288,1291,1294,1304,1309,1312,1331,1346,1350,1352,1356,1357,1366,1378,1383,1387,1390,1398,1407,1411,1416,1423,1425,1434,1443,1461,1483,1498,1499], Y=[3,4], Z=[0,1], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=0.75,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1], ContextFactors=[2.67,2.79] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y3	y4	
x13	2	2	
x14	2	2	
x38	2	2	
x39	2	2	
x41	2	2	
x51	2	2	
x58	2	2	
x63	2	2	
x68	2	2	
x72	2	2	
x80	2	2	
x82	2	2	
x84	2	2	
x92	2	2	
x98	2	2	
x108	2	2	
x112	2	2	
x114	2	2	
x117	2	2	
x120	2	2	
x121	2	2	
x133	2	2	
x135	2	2	
x137	2	2	
x146	2	2	
x147	2	2	
x159	2	2	
x160	2	2	
x164	2	2	
x170	2	2	
x172	2	2	
x186	2	2	
x189	2	2	
x193	2	2	
x206	2	2	
x208	2	2	
x209	2	2	
x219	2	2	
x222	2	2	
x224	2	2	
x226	2	2	
x239	2	2	
x241	2	2	
x252	2	2	
x258	2	2	
x264	2	2	
x267	2	2	
x271	2	2	
x281	2	2	
x284	2	2	
x287	2	2	
x291	2	2	
x292	2	2	
x297	2	2	
x301	2	2	
x312	2	2	
x315	2	2	
x324	2	2	
x334	2	2	
x343	2	2	
x344	2	2	
x347	2	2	
x350	2	2	
x359	2	2	
x362	2	2	
x373	2	2	
x378	2	2	
x382	2	2	
x390	2	2	
x395	2	2	
x397	2	2	
x402	2	2	
x403	2	2	
x408	2	2	
x415	2	2	
x422	2	2	
x424	2	2	
x427	2	2	
x428	2	2	
x431	2	2	
x437	2	2	
x445	2	2	
x464	2	2	
x474	2	2	
x484	2	2	
x489	2	2	
x499	2	2	
x501	2	2	
x510	2	2	
x515	2	2	
x525	2	2	
x528	2	2	
x532	2	2	
x538	2	2	
x539	2	2	
x546	2	2	
x548	2	2	
x557	2	2	
x562	2	2	
x565	2	2	
x567	2	2	
x568	2	2	
x570	2	2	
x573	2	2	
x576	2	2	
x579	2	2	
x580	2	2	
x581	2	2	
x585	2	2	
x591	2	2	
x601	2	2	
x603	2	2	
x612	2	2	
x626	2	2	
x637	2	2	
x643	2	2	
x649	2	2	
x654	2	2	
x656	2	2	
x668	2	2	
x674	2	2	
x679	2	2	
x683	2	2	
x690	2	2	
x692	2	2	
x702	2	2	
x706	2	2	
x714	2	2	
x715	2	2	
x717	2	2	
x718	2	2	
x726	2	2	
x734	2	2	
x741	2	2	
x744	2	2	
x746	2	2	
x752	2	2	
x754	2	2	
x762	2	2	
x764	2	2	
x774	2	2	
x780	2	2	
x783	2	2	
x784	2	2	
x786	2	2	
x789	2	2	
x793	2	2	
x797	2	2	
x803	2	2	
x809	2	2	
x810	2	2	
x812	2	2	
x832	2	2	
x834	2	2	
x838	2	2	
x842	2	2	
x846	2	2	
x847	2	2	
x851	2	2	
x863	2	2	
x870	2	2	
x875	2	2	
x876	2	2	
x877	2	2	
x887	2	2	
x890	2	2	
x894	2	2	
x900	2	2	
x913	2	2	
x918	2	2	
x920	2	2	
x921	2	2	
x923	2	2	
x924	2	2	
x930	2	2	
x931	2	2	
x936	2	2	
x942	2	2	
x944	2	2	
x960	2	2	
