Total of planted triclusters: 4
Number of planted numeric triclusters: 1
Number of planted symbolic triclusters: 2
Number of planted mixed triclusters: 1
Tricluster coverage: 9.946666666666665%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #2
 (79, 3, 4), X=[1,15,25,27,28,29,36,40,52,54,62,63,79,84,89,100,118,123,124,129,135,144,150,168,174,179,181,184,198,202,206,209,217,219,220,223,228,230,231,232,233,235,238,239,252,255,263,267,274,276,277,295,300,304,305,312,323,327,348,350,357,363,366,378,385,392,395,401,417,435,443,444,457,461,468,472,473,485,499], Y=[1,2,3], Z=[0,1,2,3], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Additive, Seed=8.83,  RowFactors=[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0], ColumnFactors=[0,0,0], ContextFactors=[-2.12,0.88,-8.04,-0.69] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y1	y2	y3	
x1	6.71	6.71	6.71	
x15	6.71	6.71	6.71	
x25	6.71	6.71	6.71	
x27	6.71	6.71	6.71	
x28	6.71	6.71	6.71	
x29	6.71	6.71	6.71	
x36	6.71	6.71	6.71	
x40	6.71	6.71	6.71	
x52	6.71	6.71	6.71	
x54	6.71	6.71	6.71	
x62	6.71	6.71	6.71	
x63	6.71	6.71	6.71	
x79	6.71	6.71	6.71	
x84	6.71	6.71	6.71	
x89	6.71	6.71	6.71	
x100	6.71	6.71	6.71	
x118	6.71	6.71	6.71	
x123	6.71	6.71	6.71	
x124	6.71	6.71	6.71	
x129	6.71	6.71	6.71	
x135	6.71	6.71	6.71	
x144	6.71	6.71	6.71	
x150	6.71	6.71	6.71	
x168	6.71	6.71	6.71	
x174	6.71	6.71	6.71	
x179	6.71	6.71	6.71	
x181	6.71	6.71	6.71	
x184	6.71	6.71	6.71	
x198	6.71	6.71	6.71	
x202	6.71	6.71	6.71	
x206	6.71	6.71	6.71	
x209	6.71	6.71	6.71	
x217	6.71	6.71	6.71	
x219	6.71	6.71	6.71	
x220	6.71	6.71	6.71	
x223	6.71	6.71	6.71	
x228	6.71	6.71	6.71	
x230	6.71	6.71	6.71	
x231	6.71	6.71	6.71	
x232	6.71	6.71	6.71	
x233	6.71	6.71	6.71	
x235	6.71	6.71	6.71	
x238	6.71	6.71	6.71	
x239	6.71	6.71	6.71	
x252	6.71	6.71	6.71	
x255	6.71	6.71	6.71	
x263	6.71	6.71	6.71	
x267	6.71	6.71	6.71	
x274	6.71	6.71	6.71	
x276	6.71	6.71	6.71	
x277	6.71	6.71	6.71	
x295	6.71	6.71	6.71	
x300	6.71	6.71	6.71	
x304	6.71	6.71	6.71	
x305	6.71	6.71	6.71	
x312	6.71	6.71	6.71	
x323	6.71	6.71	6.71	
x327	6.71	6.71	6.71	
x348	6.71	6.71	6.71	
x350	6.71	6.71	6.71	
x357	6.71	6.71	6.71	
x363	6.71	6.71	6.71	
x366	6.71	6.71	6.71	
x378	6.71	6.71	6.71	
x385	6.71	6.71	6.71	
x392	6.71	6.71	6.71	
x395	6.71	6.71	6.71	
x401	6.71	6.71	6.71	
x417	6.71	6.71	6.71	
x435	6.71	6.71	6.71	
x443	6.71	6.71	6.71	
x444	6.71	6.71	6.71	
x457	6.71	6.71	6.71	
x461	6.71	6.71	6.71	
x468	6.71	6.71	6.71	
x472	6.71	6.71	6.71	
x473	6.71	6.71	6.71	
x485	6.71	6.71	6.71	
x499	6.71	6.71	6.71	

Context: 1
X	y1	y2	y3	
x1	9.71	9.71	9.71	
x15	9.71	9.71	9.71	
x25	9.71	9.71	9.71	
x27	9.71	9.71	9.71	
x28	9.71	9.71	9.71	
x29	9.71	9.71	9.71	
x36	9.71	9.71	9.71	
x40	9.71	9.71	9.71	
x52	9.71	9.71	9.71	
x54	9.71	9.71	9.71	
x62	9.71	9.71	9.71	
x63	9.71	9.71	9.71	
x79	9.71	9.71	9.71	
x84	9.71	9.71	9.71	
x89	9.71	9.71	9.71	
x100	9.71	9.71	9.71	
x118	9.71	9.71	9.71	
x123	9.71	9.71	9.71	
x124	9.71	9.71	9.71	
x129	9.71	9.71	9.71	
x135	9.71	9.71	9.71	
x144	9.71	9.71	9.71	
x150	9.71	9.71	9.71	
x168	9.71	9.71	9.71	
x174	9.71	9.71	9.71	
x179	9.71	9.71	9.71	
x181	9.71	9.71	9.71	
x184	9.71	9.71	9.71	
x198	9.71	9.71	9.71	
x202	9.71	9.71	9.71	
x206	9.71	9.71	9.71	
x209	9.71	9.71	9.71	
x217	9.71	9.71	9.71	
x219	9.71	9.71	9.71	
x220	9.71	9.71	9.71	
