Total of planted triclusters: 5
Number of planted numeric triclusters: 1
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 3
Tricluster coverage: 18.279999999999998%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (171, 2, 4), X=[2,11,18,27,37,44,51,58,59,60,65,74,80,81,89,90,93,96,108,124,135,137,145,154,156,158,160,172,178,187,189,191,207,209,213,216,222,233,237,242,248,254,263,272,278,284,288,290,291,292,301,316,322,331,334,335,337,338,347,348,350,357,359,360,368,371,375,382,383,400,403,404,410,420,422,426,428,436,437,440,462,473,485,488,492,496,499,501,502,516,517,519,521,528,531,541,543,545,550,560,568,578,579,591,592,593,596,597,615,618,622,626,628,632,634,639,645,665,670,677,678,682,685,686,687,706,711,716,719,724,729,734,742,758,759,763,767,772,781,785,793,797,809,814,818,826,830,835,873,891,896,897,900,907,919,922,925,944,947,950,951,953,957,969,970,975,977,981,982,991,996], Y=[1,2], Z=[0,1,2,3], RowPattern=Constant, ColumnPattern=None, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y1	y2	
x2	9.05	6.51	
x11	9.05	6.51	
x18	9.05	6.51	
x27	9.05	6.51	
x37	9.05	6.51	
x44	9.05	6.51	
x51	9.05	6.51	
x58	9.05	6.51	
x59	9.05	6.51	
x60	9.05	6.51	
x65	9.05	6.51	
x74	9.05	6.51	
x80	9.05	6.51	
x81	9.05	6.51	
x89	9.05	6.51	
x90	9.05	6.51	
x93	9.05	6.51	
x96	9.05	6.51	
x108	9.05	6.51	
x124	9.05	6.51	
x135	9.05	6.51	
x137	9.05	6.51	
x145	9.05	6.51	
x154	9.05	6.51	
x156	9.05	6.51	
x158	9.05	6.51	
x160	9.05	6.51	
x172	9.05	6.51	
x178	9.05	6.51	
x187	9.05	6.51	
x189	9.05	6.51	
x191	9.05	6.51	
x207	9.05	6.51	
x209	9.05	6.51	
x213	9.05	6.51	
x216	9.05	6.51	
x222	9.05	6.51	
x233	9.05	6.51	
x237	9.05	6.51	
x242	9.05	6.51	
x248	9.05	6.51	
x254	9.05	6.51	
x263	9.05	6.51	
x272	9.05	6.51	
x278	9.05	6.51	
x284	9.05	6.51	
x288	9.05	6.51	
x290	9.05	6.51	
x291	9.05	6.51	
x292	9.05	6.51	
x301	9.05	6.51	
x316	9.05	6.51	
x322	9.05	6.51	
x331	9.05	6.51	
x334	9.05	6.51	
x335	9.05	6.51	
x337	9.05	6.51	
x338	9.05	6.51	
x347	9.05	6.51	
x348	9.05	6.51	
x350	9.05	6.51	
x357	9.05	6.51	
x359	9.05	6.51	
x360	9.05	6.51	
x368	9.05	6.51	
x371	9.05	6.51	
x375	9.05	6.51	
x382	9.05	6.51	
x383	9.05	6.51	
x400	9.05	6.51	
x403	9.05	6.51	
x404	9.05	6.51	
x410	9.05	6.51	
x420	9.05	6.51	
x422	9.05	6.51	
x426	9.05	6.51	
x428	9.05	6.51	
x436	9.05	6.51	
x437	9.05	6.51	
x440	9.05	6.51	
x462	9.05	6.51	
x473	9.05	6.51	
x485	9.05	6.51	
x488	9.05	6.51	
x492	9.05	6.51	
x496	9.05	6.51	
x499	9.05	6.51	
x501	9.05	6.51	
x502	9.05	6.51	
x516	9.05	6.51	
x517	9.05	6.51	
x519	9.05	6.51	
x521	9.05	6.51	
x528	9.05	6.51	
x531	9.05	6.51	
x541	9.05	6.51	
x543	9.05	6.51	
x545	9.05	6.51	
x550	9.05	6.51	
x560	9.05	6.51	
x568	9.05	6.51	
x578	9.05	6.51	
x579	9.05	6.51	
x591	9.05	6.51	
x592	9.05	6.51	
x593	9.05	6.51	
x596	9.05	6.51	
x597	9.05	6.51	
x615	9.05	6.51	
x618	9.05	6.51	
x622	9.05	6.51	
x626	9.05	6.51	
x628	9.05	6.51	
x632	9.05	6.51	
x634	9.05	6.51	
x639	9.05	6.51	
x645	9.05	6.51	
x665	9.05	6.51	
x670	9.05	6.51	
x677	9.05	6.51	
x678	9.05	6.51	
x682	9.05	6.51	
x685	9.05	6.51	
x686	9.05	6.51	
x687	9.05	6.51	
x706	9.05	6.51	
x711	9.05	6.51	
x716	9.05	6.51	
x719	9.05	6.51	
x724	9.05	6.51	
x729	9.05	6.51	
x734	9.05	6.51	
x742	9.05	6.51	
x758	9.05	6.51	
x759	9.05	6.51	
x763	9.05	6.51	
x767	9.05	6.51	
x772	9.05	6.51	
x781	9.05	6.51	
x785	9.05	6.51	
x793	9.05	6.51	
x797	9.05	6.51	
x809	9.05	6.51	
x814	9.05	6.51	
x818	9.05	6.51	
x826	9.05	6.51	
x830	9.05	6.51	
x835	9.05	6.51	
x873	9.05	6.51	
x891	9.05	6.51	
x896	9.05	6.51	
x897	9.05	6.51	
x900	9.05	6.51	
x907	9.05	6.51	
x919	9.05	6.51	
x922	9.05	6.51	
x925	9.05	6.51	
x944	9.05	6.51	
x947	9.05	6.51	
x950	9.05	6.51	
x951	9.05	6.51	
x953	9.05	6.51	
x957	9.05	6.51	
x969	9.05	6.51	
x970	9.05	6.51	
x975	9.05	6.51	
x977	9.05	6.51	
x981	9.05	6.51	
x982	9.05	6.51	
x991	9.05	6.51	
x996	9.05	6.51	

Context: 1
X	y1	y2	
x2	9.05	6.51	
x11	9.05	6.51	
x18	9.05	6.51	
x27	9.05	6.51	
x37	9.05	6.51	
x44	9.05	6.51	
x51	9.05	6.51	
x58	9.05	6.51	
x59	9.05	6.51	
x60	9.05	6.51	
x65	9.05	6.51	
x74	9.05	6.51	
x80	9.05	6.51	
x81	9.05	6.51	
x89	9.05	6.51	
x90	9.05	6.51	
x93	9.05	6.51	
x96	9.05	6.51	
x108	9.05	6.51	
x124	9.05	6.51	
x135	9.05	6.51	
x137	9.05	6.51	
x145	9.05	6.51	
x154	9.05	6.51	
x156	9.05	6.51	
x158	9.05	6.51	
x160	9.05	6.51	
x172	9.05	6.51	
x178	9.05	6.51	
x187	9.05	6.51	
x189	9.05	6.51	
x191	9.05	6.51	
x207	9.05	6.51	
x209	9.05	6.51	
x213	9.05	6.51	
x216	9.05	6.51	
x222	9.05	6.51	
x233	9.05	6.51	
x237	9.05	6.51	
x242	9.05	6.51	
x248	9.05	6.51	
x254	9.05	6.51	
x263	9.05	6.51	
x272	9.05	6.51	
x278	9.05	6.51	
x284	9.05	6.51	
x288	9.05	6.51	
x290	9.05	6.51	
x291	9.05	6.51	
x292	9.05	6.51	
x301	9.05	6.51	
x316	9.05	6.51	
x322	9.05	6.51	
x331	9.05	6.51	
x334	9.05	6.51	
x335	9.05	6.51	
x337	9.05	6.51	
x338	9.05	6.51	
x347	9.05	6.51	
x348	9.05	6.51	
x350	9.05	6.51	
x357	9.05	6.51	
x359	9.05	6.51	
x360	9.05	6.51	
x368	9.05	6.51	
x371	9.05	6.51	
x375	9.05	6.51	
x382	9.05	6.51	
x383	9.05	6.51	
x400	9.05	6.51	
x403	9.05	6.51	
x404	9.05	6.51	
x410	9.05	6.51	
x420	9.05	6.51	
x422	9.05	6.51	
x426	9.05	6.51	
x428	9.05	6.51	
x436	9.05	6.51	
x437	9.05	6.51	
x440	9.05	6.51	
x462	9.05	6.51	
x473	9.05	6.51	
x485	9.05	6.51	
x488	9.05	6.51	
x492	9.05	6.51	
x496	9.05	6.51	
x499	9.05	6.51	
x501	9.05	6.51	
x502	9.05	6.51	
x516	9.05	6.51	
x517	9.05	6.51	
x519	9.05	6.51	
x521	9.05	6.51	
x528	9.05	6.51	
x531	9.05	6.51	
x541	9.05	6.51	
x543	9.05	6.51	
x545	9.05	6.51	
x550	9.05	6.51	
x560	9.05	6.51	
x568	9.05	6.51	
x578	9.05	6.51	
x579	9.05	6.51	
x591	9.05	6.51	
x592	9.05	6.51	
x593	9.05	6.51	
x596	9.05	6.51	
x597	9.05	6.51	
x615	9.05	6.51	
x618	9.05	6.51	
x622	9.05	6.51	
x626	9.05	6.51	
x628	9.05	6.51	
x632	9.05	6.51	
x634	9.05	6.51	
x639	9.05	6.51	
x645	9.05	6.51	
x665	9.05	6.51	
x670	9.05	6.51	
x677	9.05	6.51	
x678	9.05	6.51	
x682	9.05	6.51	
x685	9.05	6.51	
x686	9.05	6.51	
x687	9.05	6.51	
x706	9.05	6.51	
x711	9.05	6.51	
x716	9.05	6.51	
x719	9.05	6.51	
x724	9.05	6.51	
x729	9.05	6.51	
x734	9.05	6.51	
x742	9.05	6.51	
x758	9.05	6.51	
x759	9.05	6.51	
x763	9.05	6.51	
x767	9.05	6.51	
x772	9.05	6.51	
x781	9.05	6.51	
x785	9.05	6.51	
x793	9.05	6.51	
x797	9.05	6.51	
x809	9.05	6.51	
x814	9.05	6.51	
x818	9.05	6.51	
x826	9.05	6.51	
x830	9.05	6.51	
x835	9.05	6.51	
x873	9.05	6.51	
x891	9.05	6.51	
x896	9.05	6.51	
x897	9.05	6.51	
x900	9.05	6.51	
x907	9.05	6.51	
x919	9.05	6.51	
x922	9.05	6.51	
x925	9.05	6.51	
x944	9.05	6.51	
x947	9.05	6.51	
x950	9.05	6.51	
x951	9.05	6.51	
x953	9.05	6.51	
x957	9.05	6.51	
x969	9.05	6.51	
x970	9.05	6.51	
x975	9.05	6.51	
x977	9.05	6.51	
x981	9.05	6.51	
x982	9.05	6.51	
x991	9.05	6.51	
