Total of planted triclusters: 5
Number of planted numeric triclusters: 1
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 3
Tricluster coverage: 15.49%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (170, 2, 3), X=[5,6,10,14,21,27,35,44,48,63,67,75,81,82,85,87,88,89,99,108,111,116,119,121,124,143,147,148,160,165,167,168,171,179,180,194,200,202,211,213,229,231,232,244,245,247,249,258,262,269,273,276,283,284,290,293,294,308,310,311,313,325,327,330,335,336,337,338,340,344,370,376,377,380,388,390,391,401,410,411,413,425,436,441,442,443,449,456,458,465,482,483,495,504,505,508,514,518,521,524,538,541,545,546,547,560,568,570,580,599,608,609,614,622,625,627,631,632,634,636,656,658,659,668,675,679,682,689,691,693,695,696,704,718,734,744,748,765,769,772,780,783,821,822,828,832,834,848,850,861,864,872,897,898,899,913,914,915,918,923,925,929,934,938,942,951,955,959,962,994], Y=[0,3], Z=[2,3,4], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Additive, Seed=6.48,  RowFactors=[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0], ColumnFactors=[0,0], ContextFactors=[-4.63,-3.01,1.88] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 2
X	y0	y3	
x5	1.85	1.85	
x6	1.85	1.85	
x10	1.85	1.85	
x14	1.85	1.85	
x21	1.85	1.85	
x27	1.85	1.85	
x35	1.85	1.85	
x44	1.85	1.85	
x48	1.85	1.85	
x63	1.85	1.85	
x67	1.85	1.85	
x75	1.85	1.85	
x81	1.85	1.85	
x82	1.85	1.85	
x85	1.85	1.85	
x87	1.85	1.85	
x88	1.85	1.85	
x89	1.85	1.85	
x99	1.85	1.85	
x108	1.85	1.85	
x111	1.85	1.85	
x116	1.85	1.85	
x119	1.85	1.85	
x121	1.85	1.85	
x124	1.85	1.85	
x143	1.85	1.85	
x147	1.85	1.85	
x148	1.85	1.85	
x160	1.85	1.85	
x165	1.85	1.85	
x167	1.85	1.85	
x168	1.85	1.85	
x171	1.85	1.85	
x179	1.85	1.85	
x180	1.85	1.85	
x194	1.85	1.85	
x200	1.85	1.85	
x202	1.85	1.85	
x211	1.85	1.85	
x213	1.85	1.85	
x229	1.85	1.85	
x231	1.85	1.85	
x232	1.85	1.85	
x244	1.85	1.85	
x245	1.85	1.85	
x247	1.85	1.85	
x249	1.85	1.85	
x258	1.85	1.85	
x262	1.85	1.85	
x269	1.85	1.85	
x273	1.85	1.85	
x276	1.85	1.85	
x283	1.85	1.85	
x284	1.85	1.85	
x290	1.85	1.85	
x293	1.85	1.85	
x294	1.85	1.85	
x308	1.85	1.85	
x310	1.85	1.85	
x311	1.85	1.85	
x313	1.85	1.85	
x325	1.85	1.85	
x327	1.85	1.85	
x330	1.85	1.85	
x335	1.85	1.85	
x336	1.85	1.85	
x337	1.85	1.85	
x338	1.85	1.85	
x340	1.85	1.85	
x344	1.85	1.85	
x370	1.85	1.85	
x376	1.85	1.85	
x377	1.85	1.85	
x380	1.85	1.85	
x388	1.85	1.85	
x390	1.85	1.85	
x391	1.85	1.85	
x401	1.85	1.85	
x410	1.85	1.85	
x411	1.85	1.85	
x413	1.85	1.85	
x425	1.85	1.85	
