Total of planted triclusters: 6
Number of planted numeric triclusters: 1
Number of planted symbolic triclusters: 4
Number of planted mixed triclusters: 1
Tricluster coverage: 16.623333333333335%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #4
 (264, 3, 4), X=[6,21,29,35,41,43,46,53,54,58,59,78,93,94,97,106,112,114,129,139,141,142,145,154,158,159,167,176,177,178,179,183,193,194,199,200,202,208,215,216,218,227,228,230,232,233,242,246,252,255,256,275,286,294,295,297,301,311,318,320,324,333,336,340,343,344,360,365,377,382,386,390,406,407,411,422,431,434,437,444,446,447,450,453,454,458,469,474,476,479,480,484,486,490,494,500,513,514,532,545,546,550,553,561,570,576,585,593,602,604,607,609,612,619,621,624,627,629,647,649,655,663,666,670,694,704,715,717,722,725,732,735,736,739,743,744,747,759,772,775,776,777,779,781,785,792,797,799,804,819,820,823,831,836,838,841,859,869,874,875,877,882,889,892,896,902,912,916,920,921,930,943,944,955,959,971,973,976,986,990,994,999,1001,1008,1022,1029,1031,1052,1054,1068,1069,1074,1085,1107,1111,1112,1117,1125,1132,1135,1144,1153,1155,1158,1160,1175,1183,1184,1200,1201,1202,1206,1209,1210,1212,1215,1221,1222,1226,1227,1236,1243,1244,1245,1251,1254,1257,1258,1259,1267,1280,1286,1297,1299,1302,1305,1337,1341,1347,1351,1359,1381,1386,1394,1395,1398,1403,1407,1408,1409,1427,1429,1434,1443,1445,1446,1447,1448,1454,1464,1467,1473,1483,1492], Y=[0,3,4], Z=[1,2,3,4], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=2.69,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1,1], ContextFactors=[0.35,2.68,1.67,0.8] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 1
X	y0	y3	y4	
x6	0.94	0.94	0.94	
x21	0.94	0.94	0.94	
x29	0.94	0.94	0.94	
x35	0.94	0.94	0.94	
x41	0.94	0.94	0.94	
x43	0.94	0.94	0.94	
x46	0.94	0.94	0.94	
x53	0.94	0.94	0.94	
x54	0.94	0.94	0.94	
x58	0.94	0.94	0.94	
x59	0.94	0.94	0.94	
x78	0.94	0.94	0.94	
x93	0.94	0.94	0.94	
x94	0.94	0.94	0.94	
x97	0.94	0.94	0.94	
x106	0.94	0.94	0.94	
x112	0.94	0.94	0.94	
x114	0.94	0.94	0.94	
x129	0.94	0.94	0.94	
x139	0.94	0.94	0.94	
x141	0.94	0.94	0.94	
x142	0.94	0.94	0.94	
x145	0.94	0.94	0.94	
x154	0.94	0.94	0.94	
x158	0.94	0.94	0.94	
x159	0.94	0.94	0.94	
x167	0.94	0.94	0.94	
x176	0.94	0.94	0.94	
x177	0.94	0.94	0.94	
x178	0.94	0.94	0.94	
x179	0.94	0.94	0.94	
x183	0.94	0.94	0.94	
x193	0.94	0.94	0.94	
x194	0.94	0.94	0.94	
x199	0.94	0.94	0.94	
x200	0.94	0.94	0.94	
x202	0.94	0.94	0.94	
x208	0.94	0.94	0.94	
x215	0.94	0.94	0.94	
x216	0.94	0.94	0.94	
x218	0.94	0.94	0.94	
x227	0.94	0.94	0.94	
x228	0.94	0.94	0.94	
x230	0.94	0.94	0.94	
x232	0.94	0.94	0.94	
x233	0.94	0.94	0.94	
x242	0.94	0.94	0.94	
x246	0.94	0.94	0.94	
x252	0.94	0.94	0.94	
x255	0.94	0.94	0.94	
x256	0.94	0.94	0.94	
x275	0.94	0.94	0.94	
x286	0.94	0.94	0.94	
x294	0.94	0.94	0.94	
x295	0.94	0.94	0.94	
x297	0.94	0.94	0.94	
x301	0.94	0.94	0.94	
x311	0.94	0.94	0.94	
x318	0.94	0.94	0.94	
x320	0.94	0.94	0.94	
x324	0.94	0.94	0.94	
x333	0.94	0.94	0.94	
x336	0.94	0.94	0.94	
x340	0.94	0.94	0.94	
x343	0.94	0.94	0.94	
x344	0.94	0.94	0.94	
x360	0.94	0.94	0.94	
x365	0.94	0.94	0.94	
x377	0.94	0.94	0.94	
x382	0.94	0.94	0.94	
x386	0.94	0.94	0.94	
x390	0.94	0.94	0.94	
x406	0.94	0.94	0.94	
x407	0.94	0.94	0.94	
x411	0.94	0.94	0.94	
x422	0.94	0.94	0.94	
x431	0.94	0.94	0.94	
x434	0.94	0.94	0.94	
x437	0.94	0.94	0.94	
x444	0.94	0.94	0.94	
x446	0.94	0.94	0.94	
x447	0.94	0.94	0.94	
x450	0.94	0.94	0.94	
x453	0.94	0.94	0.94	
x454	0.94	0.94	0.94	
x458	0.94	0.94	0.94	
x469	0.94	0.94	0.94	
x474	0.94	0.94	0.94	
x476	0.94	0.94	0.94	
x479	0.94	0.94	0.94	
x480	0.94	0.94	0.94	
