Total of planted triclusters: 6
Number of planted numeric triclusters: 4
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 1
Tricluster coverage: 14.584444444444443%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (192, 3, 4), X=[17,27,32,33,42,52,61,62,63,69,70,71,73,75,77,89,91,118,122,150,154,155,168,171,177,179,182,187,191,204,209,216,226,228,235,238,252,255,258,267,268,275,279,281,286,299,304,312,322,336,338,340,349,350,357,358,360,368,380,389,396,406,407,419,422,430,439,446,448,455,461,464,475,493,509,519,524,527,534,536,553,569,571,588,590,595,611,617,627,631,636,638,657,663,674,679,680,698,703,707,714,743,754,757,794,801,811,816,821,832,836,839,849,855,875,877,887,888,898,929,932,938,945,946,976,977,981,991,1008,1017,1019,1026,1027,1043,1075,1083,1093,1097,1107,1112,1113,1117,1124,1127,1133,1135,1141,1182,1193,1202,1204,1213,1222,1225,1230,1233,1238,1239,1255,1261,1265,1288,1289,1291,1297,1307,1312,1313,1316,1322,1332,1343,1370,1380,1385,1390,1394,1403,1407,1415,1417,1419,1421,1436,1455,1471,1474,1475,1484,1491,1497,1499], Y=[0,3,4], Z=[1,2,3,4], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=5.18,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1,1], ContextFactors=[0.64,1.34,0.12,0.77] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 1
X	y0	y3	y4	
x17	3.34	3.34	3.34	
x27	3.34	3.34	3.34	
x32	3.34	3.34	3.34	
x33	3.34	3.34	3.34	
x42	3.34	3.34	3.34	
x52	3.34	3.34	3.34	
x61	3.34	3.34	3.34	
x62	3.34	3.34	3.34	
x63	3.34	3.34	3.34	
x69	3.34	3.34	3.34	
x70	3.34	3.34	3.34	
x71	3.34	3.34	3.34	
x73	3.34	3.34	3.34	
x75	3.34	3.34	3.34	
x77	3.34	3.34	3.34	
x89	3.34	3.34	3.34	
x91	3.34	3.34	3.34	
x118	3.34	3.34	3.34	
x122	3.34	3.34	3.34	
x150	3.34	3.34	3.34	
x154	3.34	3.34	3.34	
x155	3.34	3.34	3.34	
x168	3.34	3.34	3.34	
x171	3.34	3.34	3.34	
x177	3.34	3.34	3.34	
x179	3.34	3.34	3.34	
x182	3.34	3.34	3.34	
x187	3.34	3.34	3.34	
x191	3.34	3.34	3.34	
x204	3.34	3.34	3.34	
x209	3.34	3.34	3.34	
x216	3.34	3.34	3.34	
x226	3.34	3.34	3.34	
x228	3.34	3.34	3.34	
x235	3.34	3.34	3.34	
x238	3.34	3.34	3.34	
x252	3.34	3.34	3.34	
x255	3.34	3.34	3.34	
x258	3.34	3.34	3.34	
x267	3.34	3.34	3.34	
x268	3.34	3.34	3.34	
x275	3.34	3.34	3.34	
x279	3.34	3.34	3.34	
x281	3.34	3.34	3.34	
x286	3.34	3.34	3.34	
x299	3.34	3.34	3.34	
x304	3.34	3.34	3.34	
x312	3.34	3.34	3.34	
x322	3.34	3.34	3.34	
x336	3.34	3.34	3.34	
x338	3.34	3.34	3.34	
x340	3.34	3.34	3.34	
x349	3.34	3.34	3.34	
x350	3.34	3.34	3.34	
x357	3.34	3.34	3.34	
x358	3.34	3.34	3.34	
x360	3.34	3.34	3.34	
x368	3.34	3.34	3.34	
x380	3.34	3.34	3.34	
x389	3.34	3.34	3.34	
x396	3.34	3.34	3.34	
x406	3.34	3.34	3.34	
x407	3.34	3.34	3.34	
x419	3.34	3.34	3.34	
x422	3.34	3.34	3.34	
x430	3.34	3.34	3.34	
x439	3.34	3.34	3.34	
x446	3.34	3.34	3.34	
x448	3.34	3.34	3.34	
x455	3.34	3.34	3.34	
x461	3.34	3.34	3.34	
x464	3.34	3.34	3.34	
