Total of planted triclusters: 6
Number of planted numeric triclusters: 2
Number of planted symbolic triclusters: 2
Number of planted mixed triclusters: 2
Tricluster coverage: 16.666666666666664%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #2
 (296, 2, 4), X=[3,4,6,9,11,14,20,26,27,34,39,43,51,52,53,58,64,67,68,71,72,75,79,80,81,93,94,96,97,107,120,129,130,131,139,146,148,174,175,177,193,201,214,215,222,223,224,236,241,242,246,252,261,264,266,272,274,280,284,285,289,296,298,299,304,309,314,319,324,326,327,331,335,339,343,350,354,359,367,378,382,383,384,386,388,395,398,411,415,418,435,437,439,440,442,447,448,464,477,494,495,500,511,516,518,520,528,529,539,551,553,554,558,560,563,568,572,575,582,583,585,587,617,623,627,630,640,646,649,654,660,664,668,674,676,685,694,695,705,706,715,721,722,725,727,728,733,737,752,753,754,763,765,783,785,786,787,788,789,791,795,802,806,811,813,818,819,824,825,838,844,852,857,858,865,874,876,877,886,893,901,904,907,910,918,924,928,931,937,946,957,963,964,965,973,976,991,1004,1009,1018,1028,1029,1033,1034,1038,1042,1056,1059,1065,1066,1083,1089,1094,1095,1101,1102,1104,1109,1110,1117,1119,1129,1130,1133,1140,1142,1143,1145,1156,1167,1177,1189,1201,1209,1217,1224,1225,1227,1231,1241,1245,1247,1248,1250,1251,1262,1264,1267,1270,1276,1279,1283,1293,1295,1300,1304,1305,1306,1321,1326,1335,1339,1343,1348,1357,1361,1369,1370,1376,1383,1384,1385,1387,1389,1392,1395,1396,1401,1404,1405,1407,1414,1419,1438,1441,1446,1450,1454,1457,1460,1461,1462,1463,1466,1469,1492], Y=[0,1], Z=[0,1,2,3], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=7.2,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1], ContextFactors=[1,0.3,0.19,0.95] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y0	y1	
x3	7.21	7.21	
x4	7.21	7.21	
x6	7.21	7.21	
x9	7.21	7.21	
x11	7.21	7.21	
x14	7.21	7.21	
x20	7.21	7.21	
x26	7.21	7.21	
x27	7.21	7.21	
x34	7.21	7.21	
x39	7.21	7.21	
x43	7.21	7.21	
x51	7.21	7.21	
x52	7.21	7.21	
x53	7.21	7.21	
x58	7.21	7.21	
x64	7.21	7.21	
x67	7.21	7.21	
x68	7.21	7.21	
x71	7.21	7.21	
x72	7.21	7.21	
x75	7.21	7.21	
x79	7.21	7.21	
x80	7.21	7.21	
x81	7.21	7.21	
x93	7.21	7.21	
x94	7.21	7.21	
x96	7.21	7.21	
x97	7.21	7.21	
x107	7.21	7.21	
x120	7.21	7.21	
x129	7.21	7.21	
x130	7.21	7.21	
x131	7.21	7.21	
x139	7.21	7.21	
x146	7.21	7.21	
x148	7.21	7.21	
x174	7.21	7.21	
x175	7.21	7.21	
x177	7.21	7.21	
x193	7.21	7.21	
x201	7.21	7.21	
x214	7.21	7.21	
x215	7.21	7.21	
x222	7.21	7.21	
x223	7.21	7.21	
x224	7.21	7.21	
x236	7.21	7.21	
x241	7.21	7.21	
x242	7.21	7.21	
x246	7.21	7.21	
x252	7.21	7.21	
x261	7.21	7.21	
x264	7.21	7.21	
x266	7.21	7.21	
x272	7.21	7.21	
x274	7.21	7.21	
x280	7.21	7.21	
x284	7.21	7.21	
x285	7.21	7.21	
x289	7.21	7.21	
x296	7.21	7.21	
x298	7.21	7.21	
x299	7.21	7.21	
x304	7.21	7.21	
x309	7.21	7.21	
x314	7.21	7.21	
x319	7.21	7.21	
x324	7.21	7.21	
x326	7.21	7.21	
x327	7.21	7.21	
x331	7.21	7.21	
x335	7.21	7.21	
x339	7.21	7.21	
x343	7.21	7.21	
x350	7.21	7.21	
x354	7.21	7.21	
x359	7.21	7.21	
x367	7.21	7.21	
x378	7.21	7.21	
x382	7.21	7.21	
x383	7.21	7.21	
x384	7.21	7.21	
x386	7.21	7.21	
x388	7.21	7.21	
x395	7.21	7.21	
x398	7.21	7.21	
x411	7.21	7.21	
x415	7.21	7.21	
x418	7.21	7.21	
x435	7.21	7.21	
x437	7.21	7.21	
x439	7.21	7.21	
x440	7.21	7.21	
x442	7.21	7.21	
x447	7.21	7.21	
x448	7.21	7.21	
x464	7.21	7.21	
x477	7.21	7.21	
x494	7.21	7.21	
x495	7.21	7.21	
x500	7.21	7.21	
x511	7.21	7.21	
x516	7.21	7.21	
x518	7.21	7.21	
x520	7.21	7.21	
x528	7.21	7.21	
x529	7.21	7.21	
x539	7.21	7.21	
x551	7.21	7.21	
x553	7.21	7.21	
x554	7.21	7.21	
x558	7.21	7.21	
x560	7.21	7.21	
x563	7.21	7.21	
x568	7.21	7.21	
x572	7.21	7.21	
x575	7.21	7.21	
x582	7.21	7.21	
x583	7.21	7.21	
x585	7.21	7.21	
x587	7.21	7.21	
x617	7.21	7.21	
x623	7.21	7.21	
x627	7.21	7.21	
x630	7.21	7.21	
x640	7.21	7.21	
x646	7.21	7.21	
x649	7.21	7.21	
x654	7.21	7.21	
x660	7.21	7.21	
x664	7.21	7.21	
x668	7.21	7.21	
