Total of planted triclusters: 6
Number of planted numeric triclusters: 2
Number of planted symbolic triclusters: 2
Number of planted mixed triclusters: 2
Tricluster coverage: 14.981111111111112%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #2
 (186, 2, 4), X=[16,24,30,56,57,83,89,90,97,105,107,113,116,125,128,140,145,152,159,179,213,219,237,239,251,254,259,261,267,270,283,307,309,315,316,317,322,323,343,357,368,373,386,393,395,398,401,406,408,440,444,449,453,462,469,479,486,488,493,497,501,502,504,505,509,515,530,533,544,545,551,552,554,583,592,593,595,609,618,622,628,631,634,659,664,665,674,678,679,680,683,689,693,741,751,761,765,768,777,784,787,794,797,802,803,815,818,826,827,847,858,863,872,874,890,894,907,910,924,926,941,950,961,967,970,990,993,1012,1029,1034,1042,1046,1055,1056,1058,1062,1065,1068,1075,1083,1089,1095,1106,1129,1150,1163,1176,1185,1195,1196,1199,1205,1210,1228,1231,1233,1238,1239,1259,1266,1295,1300,1302,1303,1328,1329,1333,1341,1343,1363,1364,1394,1405,1414,1419,1443,1446,1453,1457,1465,1467,1468,1475,1487,1496,1498], Y=[2,4], Z=[0,1,2,3], RowPattern=Constant, ColumnPattern=None, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y2	y4	
x16	6.45	9.91	
x24	6.45	9.91	
x30	6.45	9.91	
x56	6.45	9.91	
x57	6.45	9.91	
x83	6.45	9.91	
x89	6.45	9.91	
x90	6.45	9.91	
x97	6.45	9.91	
x105	6.45	9.91	
x107	6.45	9.91	
x113	6.45	9.91	
x116	6.45	9.91	
x125	6.45	9.91	
x128	6.45	9.91	
x140	6.45	9.91	
x145	6.45	9.91	
x152	6.45	9.91	
x159	6.45	9.91	
x179	6.45	9.91	
x213	6.45	9.91	
x219	6.45	9.91	
x237	6.45	9.91	
x239	6.45	9.91	
x251	6.45	9.91	
x254	6.45	9.91	
x259	6.45	9.91	
x261	6.45	9.91	
x267	6.45	9.91	
x270	6.45	9.91	
x283	6.45	9.91	
x307	6.45	9.91	
x309	6.45	9.91	
x315	6.45	9.91	
x316	6.45	9.91	
x317	6.45	9.91	
x322	6.45	9.91	
x323	6.45	9.91	
x343	6.45	9.91	
x357	6.45	9.91	
x368	6.45	9.91	
x373	6.45	9.91	
x386	6.45	9.91	
x393	6.45	9.91	
x395	6.45	9.91	
x398	6.45	9.91	
x401	6.45	9.91	
x406	6.45	9.91	
x408	6.45	9.91	
x440	6.45	9.91	
x444	6.45	9.91	
x449	6.45	9.91	
x453	6.45	9.91	
x462	6.45	9.91	
x469	6.45	9.91	
x479	6.45	9.91	
x486	6.45	9.91	
x488	6.45	9.91	
x493	6.45	9.91	
x497	6.45	9.91	
x501	6.45	9.91	
x502	6.45	9.91	
x504	6.45	9.91	
x505	6.45	9.91	
x509	6.45	9.91	
x515	6.45	9.91	
x530	6.45	9.91	
x533	6.45	9.91	
x544	6.45	9.91	
x545	6.45	9.91	
x551	6.45	9.91	
x552	6.45	9.91	
x554	6.45	9.91	
x583	6.45	9.91	
x592	6.45	9.91	
x593	6.45	9.91	
x595	6.45	9.91	
x609	6.45	9.91	
x618	6.45	9.91	
x622	6.45	9.91	
x628	6.45	9.91	
x631	6.45	9.91	
x634	6.45	9.91	
x659	6.45	9.91	
x664	6.45	9.91	
x665	6.45	9.91	
x674	6.45	9.91	
x678	6.45	9.91	
x679	6.45	9.91	
x680	6.45	9.91	
x683	6.45	9.91	
x689	6.45	9.91	
x693	6.45	9.91	
x741	6.45	9.91	
x751	6.45	9.91	
x761	6.45	9.91	
x765	6.45	9.91	
x768	6.45	9.91	
x777	6.45	9.91	
x784	6.45	9.91	
x787	6.45	9.91	
x794	6.45	9.91	
x797	6.45	9.91	
x802	6.45	9.91	
x803	6.45	9.91	
x815	6.45	9.91	
x818	6.45	9.91	
x826	6.45	9.91	
x827	6.45	9.91	
x847	6.45	9.91	
x858	6.45	9.91	
x863	6.45	9.91	
x872	6.45	9.91	
x874	6.45	9.91	
x890	6.45	9.91	
x894	6.45	9.91	
x907	6.45	9.91	
x910	6.45	9.91	
x924	6.45	9.91	
x926	6.45	9.91	
x941	6.45	9.91	
x950	6.45	9.91	
x961	6.45	9.91	
x967	6.45	9.91	
x970	6.45	9.91	
x990	6.45	9.91	
x993	6.45	9.91	
x1012	6.45	9.91	
x1029	6.45	9.91	
x1034	6.45	9.91	
x1042	6.45	9.91	
x1046	6.45	9.91	
x1055	6.45	9.91	
x1056	6.45	9.91	
x1058	6.45	9.91	
x1062	6.45	9.91	
x1065	6.45	9.91	
x1068	6.45	9.91	
x1075	6.45	9.91	
x1083	6.45	9.91	
x1089	6.45	9.91	
x1095	6.45	9.91	
x1106	6.45	9.91	
x1129	6.45	9.91	
x1150	6.45	9.91	
x1163	6.45	9.91	
