X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y0z4	y1z4	y2z4	y3z4	y4z4	y5z4	y6z4	y7z4	y8z4	y9z4	y0z5	y1z5	y2z5	y3z5	y4z5	y5z5	y6z5	y7z5	y8z5	y9z5
x0	7.49	4.44	0.5	0.5	0.5	b	a	b	c	c	5.57	7.85	5.5	5.5	5.5	b	a	b	c	c	0.27	2.42	9.25	9.25	9.25	a	a	b	c	c	8.19	0.81	1.66	4.74	9.67	a	a	b	b	b	8.93	7.84	6.22	0.05	7.24	a	a	a	c	c	2.08	8.08	1.8	0.9	1.03	c	c	b	a	b
x1	6.34	1.7	8.73	3.4	9.64	c	b	b	a	b	2.54	1.7	7.16	3.4	9.64	c	b	b	a	c	5.06	1.7	1.15	3.4	9.64	a	a	c	c	c	6.01	1.7	4.3	3.4	9.64	b	a	b	c	b	5.76	9.79	7.52	6.21	1.45	b	b	c	b	c	0.96	4.62	8.48	0.65	9.73	a	b	a	c	a
x2	5	0.71	7.59	3.08	9.41	a	a	a	c	b	2.75	4.32	6.65	5.23	3.82	b	c	a	b	c	5.5	6.92	2.58	6.99	1.49	a	a	a	a	b	2.55	6.27	8.53	8.54	5.69	a	a	c	a	a	4.41	1.45	6.13	7.2	6.32	b	c	a	c	a	1.76	4.5	4.26	2.07	8.63	c	b	b	c	b
x3	4.19	5.85	6.28	3.45	4.95	b	b	b	a	b	2.97	0.16	8.16	0.69	2.42	a	c	b	a	b	2.88	6.26	1.06	0.55	9.46	b	b	b	b	a	0.7	9.99	2.41	4.42	1.12	c	b	c	a	b	0.65	3.68	9.17	5.12	2.08	a	a	a	b	a	8.76	0.66	6.67	7.79	8.2	c	a	c	b	a
x4	1.09	1.09	1.01	7.29	1.09	b	b	c	b	a	1.63	1.63	8.8	5.42	1.63	a	b	c	a	a	0.93	0.93	5.34	1.81	0.93	b	b	c	c	a	9.82	9.82	0.7	2.85	9.82	a	b	c	a	a	6.8	7.4	6.72	5.53	4.57	a	b	a	b	c	1.42	7.27	3.04	7.71	8.07	c	b	c	c	c
x5	7.86	0.51	8.11	6.22	1.32	c	a	c	b	b	7.86	6.21	8.11	6.22	0.55	c	c	c	b	b	0.02	2.76	5.19	0.3	7.91	b	a	c	c	c	1.51	7.72	1.57	3.73	9.22	b	a	b	c	b	7.57	4.59	1.68	4.26	8.9	c	c	a	c	c	2.96	8.61	3.58	1.24	3.15	c	a	a	c	b
x6	1.09	1.09	9.34	7.04	1.09	c	b	c	a	a	1.63	1.63	0.64	5.27	1.63	b	b	c	a	a	0.93	0.93	4.02	4.95	0.93	a	b	c	a	a	9.82	9.82	1.52	8.34	9.82	b	b	c	c	a	9.12	4.69	2.98	8.4	4.23	a	c	b	b	b	9.37	0.02	9.72	6.72	2.04	a	c	c	a	c
x7	1.09	1.09	1.32	4.42	1.09	b	b	c	c	a	1.63	1.63	0.89	1.99	1.63	c	b	c	a	a	0.93	0.93	3.09	4.94	0.93	a	b	c	a	a	9.82	9.82	9.94	4.96	9.82	c	b	c	c	a	8.91	7.35	9.7	1.71	5.31	b	c	c	c	b	7.27	9.18	0.04	6.89	3.66	b	a	c	a	b
x8	3.33	5.27	2.49	4.58	8.01	c	a	a	a	b	1.07	1.07	1.07	6.24	8.07	c	a	b	b	c	7.88	7.88	7.88	2.62	8.98	b	a	b	a	c	9.48	9.48	9.48	9.55	6.85	a	a	c	b	c	1.83	1.83	1.83	5.31	8.43	b	a	a	a	c	4.22	7.74	3.5	1.41	2.76	b	b	b	a	b
x9	7.86	7.8	8.11	6.22	4.44	c	b	c	a	b	7.86	2.55	8.11	6.22	7.27	c	a	c	c	b	3.1	5.44	0.52	2.32	1.59	b	a	a	b	a	9.58	5.07	0.32	9.17	9.02	b	b	a	a	c	7.26	6.32	9.8	6.99	3.4	a	a	b	a	b	7.25	3.19	5.93	5.45	4.07	b	b	a	b	b
