X	y0z0	y1z0	y2z0	y3z0	y4z0	y5z0	y6z0	y7z0	y8z0	y9z0	y10z0	y11z0	y12z0	y13z0	y14z0	y15z0	y16z0	y17z0	y18z0	y19z0	y0z1	y1z1	y2z1	y3z1	y4z1	y5z1	y6z1	y7z1	y8z1	y9z1	y10z1	y11z1	y12z1	y13z1	y14z1	y15z1	y16z1	y17z1	y18z1	y19z1	y0z2	y1z2	y2z2	y3z2	y4z2	y5z2	y6z2	y7z2	y8z2	y9z2	y10z2	y11z2	y12z2	y13z2	y14z2	y15z2	y16z2	y17z2	y18z2	y19z2	y0z3	y1z3	y2z3	y3z3	y4z3	y5z3	y6z3	y7z3	y8z3	y9z3	y10z3	y11z3	y12z3	y13z3	y14z3	y15z3	y16z3	y17z3	y18z3	y19z3
x0	5.3	5.3	0.85	5.99	1.5	0.95	6.39	6.98	5.3	6.24	c	a	b	b	c	c	c	c	c	a	0.77	0.77	2.75	0.27	4.33	9.72	4.78	4.78	0.77	7.94	b	a	c	a	b	b	c	a	b	b	8.75	3.61	6.86	1.86	5.32	4.48	5.44	5.44	6.07	0.67	b	a	c	a	c	a	b	b	b	b	3.04	3.1	4.57	5.85	1.13	8.08	2.36	1.21	0.41	2.17	c	b	c	a	c	c	a	c	b	b
x1	3.62	1.61	0.42	5.57	2.68	3.61	2.94	7.24	8.54	6.77	b	b	b	b	b	a	b	c	b	b	5.4	3.37	5.45	5.73	7.26	6.76	7.39	4.32	0.47	5.95	b	b	a	b	c	b	a	a	a	a	7.7	8.94	5.3	9.05	9.45	3.49	6.9	9.19	3.14	1.29	b	a	a	b	b	c	c	c	c	c	8.02	9.23	9.82	7.44	0.86	2.63	8.67	2.72	2.59	0.59	b	a	c	b	a	a	b	c	b	a
x2	6.77	4.1	9.27	6.45	2.64	7.15	0.45	2.9	8.54	9.25	a	c	a	c	c	b	a	a	b	c	3.26	1.04	2.73	6.2	6.33	1.9	9.68	9.94	4.2	9.69	a	a	b	c	b	a	b	a	c	c	6.41	4.4	7.93	1.26	2.96	3.68	8.83	2.5	7	2.75	a	c	c	b	c	b	c	c	b	a	6.07	4.89	4.95	7.75	9.88	4.92	7.93	0.3	2.57	7.66	a	c	a	a	a	b	a	b	a	b
x3	0.91	1.03	9.21	3.35	9.56	2.99	0.74	8.02	8.14	9.32	a	b	a	b	b	c	b	b	a	c	5.22	9.37	5.42	6.32	5.27	2.58	8.05	1.21	7.54	7.05	c	b	a	b	b	a	c	b	a	b	2.36	4.17	0.66	1.21	7.83	1.98	2.64	7.32	1.15	5.64	b	a	c	b	c	a	b	a	c	b	0.95	4.2	9.92	2.86	7.6	8.16	3.33	8.4	7.18	9.32	c	c	c	b	c	b	b	b	b	b
x4	7.08	8.2	6.04	9.44	6.23	3.75	9.27	0.29	2.53	0.19	c	a	c	a	c	a	c	a	b	b	3.17	9.16	1.83	4.45	8.42	4.47	3.04	7.21	2.04	2.7	c	c	c	b	c	c	c	a	c	b	5.64	3.59	5.64	2.75	6.2	9.41	4.51	3.72	5.47	2.64	b	a	c	c	a	a	b	c	b	b	6.89	2.89	6.72	1.83	7.75	3.05	8.39	0.06	1.07	0.04	c	b	a	c	a	a	c	c	c	b
x5	5.04	4	2.97	1.12	7.95	7.9	7.09	4.57	3.68	5.9	a	c	c	a	b	c	a	b	c	a	5.59	0.9	7.39	7.33	4.1	1.62	4.78	4.78	2.1	1.49	b	b	c	a	c	a	b	c	b	b	0.9	4.04	3.91	1.15	8.66	3.96	5.44	5.44	8.73	6.17	b	b	c	a	a	c	b	c	b	b	2.74	0.8	1.84	3.65	2.79	5.64	4.44	3.56	0.95	7.69	c	b	b	c	a	c	a	c	c	a
x6	3.16	5.77	4.97	2.96	6.03	7.62	7.33	9.75	3.5	1.02	c	c	a	a	c	c	b	c	c	c	7.47	6.39	4.35	5.22	6.22	7.46	3.84	2.31	9.13	8.92	c	c	b	b	b	b	a	b	b	c	6.22	4.07	6.96	3.35	6.17	2.39	6.91	2.24	3.26	8.43	a	c	b	a	a	a	c	c	b	c	0.34	3.02	1.89	8.03	3.25	0.93	4.95	5.29	6.4	5.17	a	c	c	b	b	a	a	a	c	a
x7	7.74	8.9	6.97	5.55	4.85	1.97	0.86	8.99	8.48	5.33	a	a	a	a	a	c	b	b	c	a	6.05	6.38	2.07	9.75	9.02	9.21	9.03	5.51	0.51	3.78	b	b	a	a	b	a	a	c	a	b	5.52	7.34	6.67	3.08	5.68	4.27	5.99	7.11	7.68	1.33	b	c	b	b	b	a	b	c	a	c	6.85	2.12	3.62	2.16	8.1	8.41	4.21	6.76	5.97	8.76	a	c	c	b	b	a	b	c	b	b
x8	5.52	6.24	9.02	3.73	8.63	3.38	6.52	4.81	5.46	3.82	c	b	a	b	b	c	a	c	c	a	4.82	2.63	6.25	0.26	7.61	8.92	8.56	3.05	1.55	1.14	c	a	a	c	a	c	a	b	a	c	6.44	3.9	3.45	4.12	5.36	7.37	3.67	1.04	4.08	5.07	c	b	c	b	a	b	c	b	b	b	2.41	4.77	7.4	4.04	2.7	2.29	6.27	2.87	6.52	1.11	c	a	c	c	c	a	a	a	c	a
x9	6.21	2.63	1.83	2.37	3.68	4.47	2.97	0.75	3.14	0.67	c	b	b	b	c	c	a	c	b	c	4.4	2.4	8.04	2.37	8.54	9.28	5.48	6.57	0.53	5.97	c	b	c	c	c	a	a	a	b	b	2.22	4.56	1.37	5.13	0.24	8.27	9.26	4.15	5.44	1.57	c	c	a	a	b	b	a	b	a	c	5.22	2.28	8.71	3.31	1.05	1.6	8.24	2.13	9.93	8.77	b	b	c	a	a	b	a	a	c	b
