Total of planted triclusters: 5
Number of planted numeric triclusters: 1
Number of planted symbolic triclusters: 3
Number of planted mixed triclusters: 1
Tricluster coverage: 8.4%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #3
 (170, 4, 2), X=[8,12,18,20,32,41,45,54,55,75,82,90,94,95,99,100,103,110,114,117,119,122,128,130,132,136,150,154,165,176,184,190,195,197,200,207,208,212,216,221,231,236,250,260,274,280,292,295,298,302,307,309,318,333,345,346,349,350,354,361,362,371,374,378,384,386,387,390,402,409,417,434,442,448,449,455,461,462,465,467,478,486,491,493,500,531,535,541,546,549,550,554,560,561,564,585,587,591,593,604,606,613,614,621,622,626,634,635,643,655,656,665,670,679,680,688,689,696,700,707,726,731,735,748,753,754,760,761,763,767,769,773,776,785,795,806,813,817,819,820,824,827,837,839,840,842,843,845,853,869,875,878,887,898,899,904,910,916,922,923,924,926,931,939,944,951,962,970,971,974], Y=[0,5,7,9], Z=[1,2], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=2.19,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1,1,1], ContextFactors=[3.22,0.72] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 1
X	y0	y5	y7	y9	
x8	7.03	7.03	7.03	7.03	
x12	7.03	7.03	7.03	7.03	
x18	7.03	7.03	7.03	7.03	
x20	7.03	7.03	7.03	7.03	
x32	7.03	7.03	7.03	7.03	
x41	7.03	7.03	7.03	7.03	
x45	7.03	7.03	7.03	7.03	
x54	7.03	7.03	7.03	7.03	
x55	7.03	7.03	7.03	7.03	
x75	7.03	7.03	7.03	7.03	
x82	7.03	7.03	7.03	7.03	
x90	7.03	7.03	7.03	7.03	
x94	7.03	7.03	7.03	7.03	
x95	7.03	7.03	7.03	7.03	
x99	7.03	7.03	7.03	7.03	
x100	7.03	7.03	7.03	7.03	
x103	7.03	7.03	7.03	7.03	
x110	7.03	7.03	7.03	7.03	
x114	7.03	7.03	7.03	7.03	
x117	7.03	7.03	7.03	7.03	
x119	7.03	7.03	7.03	7.03	
x122	7.03	7.03	7.03	7.03	
x128	7.03	7.03	7.03	7.03	
x130	7.03	7.03	7.03	7.03	
x132	7.03	7.03	7.03	7.03	
x136	7.03	7.03	7.03	7.03	
x150	7.03	7.03	7.03	7.03	
x154	7.03	7.03	7.03	7.03	
x165	7.03	7.03	7.03	7.03	
x176	7.03	7.03	7.03	7.03	
x184	7.03	7.03	7.03	7.03	
x190	7.03	7.03	7.03	7.03	
x195	7.03	7.03	7.03	7.03	
x197	7.03	7.03	7.03	7.03	
x200	7.03	7.03	7.03	7.03	
x207	7.03	7.03	7.03	7.03	
x208	7.03	7.03	7.03	7.03	
x212	7.03	7.03	7.03	7.03	
x216	7.03	7.03	7.03	7.03	
x221	7.03	7.03	7.03	7.03	
x231	7.03	7.03	7.03	7.03	
x236	7.03	7.03	7.03	7.03	
x250	7.03	7.03	7.03	7.03	
x260	7.03	7.03	7.03	7.03	
x274	7.03	7.03	7.03	7.03	
x280	7.03	7.03	7.03	7.03	
x292	7.03	7.03	7.03	7.03	
x295	7.03	7.03	7.03	7.03	
x298	7.03	7.03	7.03	7.03	
x302	7.03	7.03	7.03	7.03	
x307	7.03	7.03	7.03	7.03	
x309	7.03	7.03	7.03	7.03	
x318	7.03	7.03	7.03	7.03	
x333	7.03	7.03	7.03	7.03	
x345	7.03	7.03	7.03	7.03	
x346	7.03	7.03	7.03	7.03	
x349	7.03	7.03	7.03	7.03	
x350	7.03	7.03	7.03	7.03	
x354	7.03	7.03	7.03	7.03	
x361	7.03	7.03	7.03	7.03	
x362	7.03	7.03	7.03	7.03	
x371	7.03	7.03	7.03	7.03	
x374	7.03	7.03	7.03	7.03	
x378	7.03	7.03	7.03	7.03	
x384	7.03	7.03	7.03	7.03	
x386	7.03	7.03	7.03	7.03	
x387	7.03	7.03	7.03	7.03	
x390	7.03	7.03	7.03	7.03	
x402	7.03	7.03	7.03	7.03	
x409	7.03	7.03	7.03	7.03	
x417	7.03	7.03	7.03	7.03	
x434	7.03	7.03	7.03	7.03	
x442	7.03	7.03	7.03	7.03	
x448	7.03	7.03	7.03	7.03	
x449	7.03	7.03	7.03	7.03	
