Total of planted triclusters: 6
Number of planted numeric triclusters: 2
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 3
Tricluster coverage: 11.208333333333332%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (277, 5, 2), X=[0,3,6,9,15,17,22,24,36,42,50,58,66,67,75,78,94,101,118,119,124,131,132,133,134,135,137,138,139,143,145,151,153,154,157,158,167,178,185,191,192,193,195,200,202,220,239,246,247,249,255,264,284,296,299,315,319,322,328,333,337,340,341,355,356,359,365,366,369,377,390,392,395,397,405,406,408,410,415,433,437,440,443,448,450,455,463,465,468,469,474,475,477,483,484,488,514,517,519,520,521,522,524,527,529,531,553,557,561,571,572,580,582,586,598,599,601,602,608,612,613,623,624,629,634,638,642,647,648,657,675,679,681,705,718,722,729,731,732,735,739,747,749,757,763,777,789,792,807,816,830,838,839,840,841,843,848,849,850,854,856,866,868,871,876,902,917,934,935,944,949,953,962,964,965,977,979,982,984,985,997,1003,1008,1014,1018,1024,1030,1037,1046,1060,1064,1066,1078,1091,1093,1097,1098,1108,1119,1123,1127,1129,1134,1137,1138,1144,1149,1151,1160,1163,1164,1169,1170,1180,1182,1186,1187,1199,1200,1203,1206,1209,1214,1215,1221,1223,1224,1230,1233,1238,1255,1259,1261,1263,1264,1279,1280,1281,1284,1287,1288,1289,1294,1301,1303,1308,1314,1317,1322,1325,1335,1350,1360,1361,1376,1378,1380,1386,1407,1413,1421,1426,1429,1442,1446,1456,1459,1462,1467,1470,1477,1482,1483,1484,1488,1493,1497], Y=[0,2,4,5,6], Z=[0,1], RowPattern=Constant, ColumnPattern=None, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y0	y2	y4	y5	y6	
x0	0.36	3.42	6.58	3.4	3.07	
x3	0.36	3.42	6.58	3.4	3.07	
x6	0.36	3.42	6.58	3.4	3.07	
x9	0.36	3.42	6.58	3.4	3.07	
x15	0.36	3.42	6.58	3.4	3.07	
x17	0.36	3.42	6.58	3.4	3.07	
x22	0.36	3.42	6.58	3.4	3.07	
x24	0.36	3.42	6.58	3.4	3.07	
x36	0.36	3.42	6.58	3.4	3.07	
x42	0.36	3.42	6.58	3.4	3.07	
x50	0.36	3.42	6.58	3.4	3.07	
x58	0.36	3.42	6.58	3.4	3.07	
x66	0.36	3.42	6.58	3.4	3.07	
x67	0.36	3.42	6.58	3.4	3.07	
x75	0.36	3.42	6.58	3.4	3.07	
x78	0.36	3.42	6.58	3.4	3.07	
x94	0.36	3.42	6.58	3.4	3.07	
x101	0.36	3.42	6.58	3.4	3.07	
x118	0.36	3.42	6.58	3.4	3.07	
x119	0.36	3.42	6.58	3.4	3.07	
x124	0.36	3.42	6.58	3.4	3.07	
x131	0.36	3.42	6.58	3.4	3.07	
x132	0.36	3.42	6.58	3.4	3.07	
x133	0.36	3.42	6.58	3.4	3.07	
x134	0.36	3.42	6.58	3.4	3.07	
x135	0.36	3.42	6.58	3.4	3.07	
x137	0.36	3.42	6.58	3.4	3.07	
x138	0.36	3.42	6.58	3.4	3.07	
x139	0.36	3.42	6.58	3.4	3.07	
x143	0.36	3.42	6.58	3.4	3.07	
x145	0.36	3.42	6.58	3.4	3.07	
x151	0.36	3.42	6.58	3.4	3.07	
x153	0.36	3.42	6.58	3.4	3.07	
x154	0.36	3.42	6.58	3.4	3.07	
x157	0.36	3.42	6.58	3.4	3.07	
x158	0.36	3.42	6.58	3.4	3.07	
x167	0.36	3.42	6.58	3.4	3.07	
x178	0.36	3.42	6.58	3.4	3.07	
x185	0.36	3.42	6.58	3.4	3.07	
x191	0.36	3.42	6.58	3.4	3.07	
x192	0.36	3.42	6.58	3.4	3.07	
x193	0.36	3.42	6.58	3.4	3.07	
x195	0.36	3.42	6.58	3.4	3.07	
x200	0.36	3.42	6.58	3.4	3.07	
x202	0.36	3.42	6.58	3.4	3.07	
x220	0.36	3.42	6.58	3.4	3.07	
x239	0.36	3.42	6.58	3.4	3.07	
x246	0.36	3.42	6.58	3.4	3.07	
x247	0.36	3.42	6.58	3.4	3.07	
x249	0.36	3.42	6.58	3.4	3.07	
x255	0.36	3.42	6.58	3.4	3.07	
x264	0.36	3.42	6.58	3.4	3.07	
x284	0.36	3.42	6.58	3.4	3.07	
x296	0.36	3.42	6.58	3.4	3.07	
x299	0.36	3.42	6.58	3.4	3.07	
x315	0.36	3.42	6.58	3.4	3.07	
x319	0.36	3.42	6.58	3.4	3.07	
x322	0.36	3.42	6.58	3.4	3.07	
x328	0.36	3.42	6.58	3.4	3.07	
x333	0.36	3.42	6.58	3.4	3.07	
x337	0.36	3.42	6.58	3.4	3.07	
x340	0.36	3.42	6.58	3.4	3.07	
x341	0.36	3.42	6.58	3.4	3.07	
x355	0.36	3.42	6.58	3.4	3.07	
x356	0.36	3.42	6.58	3.4	3.07	
x359	0.36	3.42	6.58	3.4	3.07	
x365	0.36	3.42	6.58	3.4	3.07	
x366	0.36	3.42	6.58	3.4	3.07	
x369	0.36	3.42	6.58	3.4	3.07	
x377	0.36	3.42	6.58	3.4	3.07	
x390	0.36	3.42	6.58	3.4	3.07	
x392	0.36	3.42	6.58	3.4	3.07	
x395	0.36	3.42	6.58	3.4	3.07	
x397	0.36	3.42	6.58	3.4	3.07	
x405	0.36	3.42	6.58	3.4	3.07	
x406	0.36	3.42	6.58	3.4	3.07	
x408	0.36	3.42	6.58	3.4	3.07	
x410	0.36	3.42	6.58	3.4	3.07	
x415	0.36	3.42	6.58	3.4	3.07	
x433	0.36	3.42	6.58	3.4	3.07	
x437	0.36	3.42	6.58	3.4	3.07	
x440	0.36	3.42	6.58	3.4	3.07	
x443	0.36	3.42	6.58	3.4	3.07	
x448	0.36	3.42	6.58	3.4	3.07	
x450	0.36	3.42	6.58	3.4	3.07	
x455	0.36	3.42	6.58	3.4	3.07	
x463	0.36	3.42	6.58	3.4	3.07	
x465	0.36	3.42	6.58	3.4	3.07	
x468	0.36	3.42	6.58	3.4	3.07	
x469	0.36	3.42	6.58	3.4	3.07	
x474	0.36	3.42	6.58	3.4	3.07	
x475	0.36	3.42	6.58	3.4	3.07	
x477	0.36	3.42	6.58	3.4	3.07	
x483	0.36	3.42	6.58	3.4	3.07	
x484	0.36	3.42	6.58	3.4	3.07	
x488	0.36	3.42	6.58	3.4	3.07	
x514	0.36	3.42	6.58	3.4	3.07	
x517	0.36	3.42	6.58	3.4	3.07	
x519	0.36	3.42	6.58	3.4	3.07	
x520	0.36	3.42	6.58	3.4	3.07	
x521	0.36	3.42	6.58	3.4	3.07	
x522	0.36	3.42	6.58	3.4	3.07	
x524	0.36	3.42	6.58	3.4	3.07	
x527	0.36	3.42	6.58	3.4	3.07	
x529	0.36	3.42	6.58	3.4	3.07	
x531	0.36	3.42	6.58	3.4	3.07	
x553	0.36	3.42	6.58	3.4	3.07	
x557	0.36	3.42	6.58	3.4	3.07	
x561	0.36	3.42	6.58	3.4	3.07	
x571	0.36	3.42	6.58	3.4	3.07	
x572	0.36	3.42	6.58	3.4	3.07	
x580	0.36	3.42	6.58	3.4	3.07	
x582	0.36	3.42	6.58	3.4	3.07	
x586	0.36	3.42	6.58	3.4	3.07	
x598	0.36	3.42	6.58	3.4	3.07	
x599	0.36	3.42	6.58	3.4	3.07	
x601	0.36	3.42	6.58	3.4	3.07	
x602	0.36	3.42	6.58	3.4	3.07	
x608	0.36	3.42	6.58	3.4	3.07	
x612	0.36	3.42	6.58	3.4	3.07	
x613	0.36	3.42	6.58	3.4	3.07	
x623	0.36	3.42	6.58	3.4	3.07	
x624	0.36	3.42	6.58	3.4	3.07	
x629	0.36	3.42	6.58	3.4	3.07	
x634	0.36	3.42	6.58	3.4	3.07	
x638	0.36	3.42	6.58	3.4	3.07	
x642	0.36	3.42	6.58	3.4	3.07	
x647	0.36	3.42	6.58	3.4	3.07	
x648	0.36	3.42	6.58	3.4	3.07	
x657	0.36	3.42	6.58	3.4	3.07	
x675	0.36	3.42	6.58	3.4	3.07	
x679	0.36	3.42	6.58	3.4	3.07	
x681	0.36	3.42	6.58	3.4	3.07	
x705	0.36	3.42	6.58	3.4	3.07	
x718	0.36	3.42	6.58	3.4	3.07	
x722	0.36	3.42	6.58	3.4	3.07	
x729	0.36	3.42	6.58	3.4	3.07	
x731	0.36	3.42	6.58	3.4	3.07	
x732	0.36	3.42	6.58	3.4	3.07	
x735	0.36	3.42	6.58	3.4	3.07	
x739	0.36	3.42	6.58	3.4	3.07	
x747	0.36	3.42	6.58	3.4	3.07	
x749	0.36	3.42	6.58	3.4	3.07	
x757	0.36	3.42	6.58	3.4	3.07	
x763	0.36	3.42	6.58	3.4	3.07	
x777	0.36	3.42	6.58	3.4	3.07	
x789	0.36	3.42	6.58	3.4	3.07	
x792	0.36	3.42	6.58	3.4	3.07	
x807	0.36	3.42	6.58	3.4	3.07	
x816	0.36	3.42	6.58	3.4	3.07	
x830	0.36	3.42	6.58	3.4	3.07	
x838	0.36	3.42	6.58	3.4	3.07	
x839	0.36	3.42	6.58	3.4	3.07	
x840	0.36	3.42	6.58	3.4	3.07	
x841	0.36	3.42	6.58	3.4	3.07	
x843	0.36	3.42	6.58	3.4	3.07	
x848	0.36	3.42	6.58	3.4	3.07	
x849	0.36	3.42	6.58	3.4	3.07	
x850	0.36	3.42	6.58	3.4	3.07	
x854	0.36	3.42	6.58	3.4	3.07	
x856	0.36	3.42	6.58	3.4	3.07	
x866	0.36	3.42	6.58	3.4	3.07	
x868	0.36	3.42	6.58	3.4	3.07	
x871	0.36	3.42	6.58	3.4	3.07	
x876	0.36	3.42	6.58	3.4	3.07	
x902	0.36	3.42	6.58	3.4	3.07	
x917	0.36	3.42	6.58	3.4	3.07	
x934	0.36	3.42	6.58	3.4	3.07	
x935	0.36	3.42	6.58	3.4	3.07	
x944	0.36	3.42	6.58	3.4	3.07	
x949	0.36	3.42	6.58	3.4	3.07	
x953	0.36	3.42	6.58	3.4	3.07	
x962	0.36	3.42	6.58	3.4	3.07	
x964	0.36	3.42	6.58	3.4	3.07	
x965	0.36	3.42	6.58	3.4	3.07	
x977	0.36	3.42	6.58	3.4	3.07	
x979	0.36	3.42	6.58	3.4	3.07	
x982	0.36	3.42	6.58	3.4	3.07	
x984	0.36	3.42	6.58	3.4	3.07	
x985	0.36	3.42	6.58	3.4	3.07	
x997	0.36	3.42	6.58	3.4	3.07	
x1003	0.36	3.42	6.58	3.4	3.07	
x1008	0.36	3.42	6.58	3.4	3.07	
