Total of planted triclusters: 6
Number of planted numeric triclusters: 1
Number of planted symbolic triclusters: 3
Number of planted mixed triclusters: 2
Tricluster coverage: 9.486666666666666%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #3
 (278, 2, 2), X=[2,8,13,14,24,26,28,30,33,38,44,49,62,64,66,72,77,84,87,90,94,95,96,99,100,104,111,118,121,131,132,134,140,144,165,167,173,176,177,193,196,197,202,204,207,217,228,229,232,234,235,248,262,271,272,278,279,281,293,294,308,312,314,320,329,337,343,345,347,356,357,365,369,383,385,387,396,399,401,406,407,410,433,441,444,447,461,465,472,474,482,485,486,495,501,502,512,513,515,536,540,544,546,548,557,561,562,563,570,576,580,585,586,605,611,613,628,644,645,648,649,652,654,659,665,666,668,672,685,701,703,707,714,722,723,725,729,748,751,752,757,761,762,764,765,769,784,789,791,798,802,809,811,814,827,830,831,838,839,850,858,859,861,867,876,886,896,903,922,927,933,935,937,940,944,946,948,952,965,972,974,984,988,1003,1006,1014,1015,1017,1020,1027,1029,1032,1036,1044,1045,1050,1052,1062,1063,1077,1084,1085,1093,1096,1103,1111,1121,1142,1146,1147,1151,1156,1157,1172,1179,1199,1205,1212,1213,1215,1230,1234,1236,1237,1238,1239,1249,1252,1256,1265,1282,1284,1286,1288,1293,1294,1295,1299,1308,1309,1310,1316,1318,1322,1323,1327,1336,1345,1356,1359,1362,1364,1365,1367,1370,1371,1374,1382,1383,1386,1390,1391,1394,1395,1397,1398,1403,1407,1412,1433,1446,1447,1453,1459,1474,1482,1492,1494], Y=[2,9], Z=[0,1], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Additive, Seed=1.66,  RowFactors=[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0], ColumnFactors=[0,0], ContextFactors=[-1.25,7.9] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y2	y9	
x2	0.41	0.41	
x8	0.41	0.41	
x13	0.41	0.41	
x14	0.41	0.41	
x24	0.41	0.41	
x26	0.41	0.41	
x28	0.41	0.41	
x30	0.41	0.41	
x33	0.41	0.41	
x38	0.41	0.41	
x44	0.41	0.41	
x49	0.41	0.41	
x62	0.41	0.41	
x64	0.41	0.41	
x66	0.41	0.41	
x72	0.41	0.41	
x77	0.41	0.41	
x84	0.41	0.41	
x87	0.41	0.41	
x90	0.41	0.41	
x94	0.41	0.41	
x95	0.41	0.41	
x96	0.41	0.41	
x99	0.41	0.41	
x100	0.41	0.41	
x104	0.41	0.41	
x111	0.41	0.41	
x118	0.41	0.41	
x121	0.41	0.41	
x131	0.41	0.41	
x132	0.41	0.41	
x134	0.41	0.41	
x140	0.41	0.41	
x144	0.41	0.41	
x165	0.41	0.41	
x167	0.41	0.41	
x173	0.41	0.41	
x176	0.41	0.41	
x177	0.41	0.41	
x193	0.41	0.41	
x196	0.41	0.41	
x197	0.41	0.41	
x202	0.41	0.41	
x204	0.41	0.41	
x207	0.41	0.41	
x217	0.41	0.41	
x228	0.41	0.41	
x229	0.41	0.41	
x232	0.41	0.41	
x234	0.41	0.41	
x235	0.41	0.41	
x248	0.41	0.41	
x262	0.41	0.41	
x271	0.41	0.41	
x272	0.41	0.41	
x278	0.41	0.41	
x279	0.41	0.41	
x281	0.41	0.41	
x293	0.41	0.41	
x294	0.41	0.41	
x308	0.41	0.41	
x312	0.41	0.41	
x314	0.41	0.41	
x320	0.41	0.41	
x329	0.41	0.41	
x337	0.41	0.41	
x343	0.41	0.41	
x345	0.41	0.41	
x347	0.41	0.41	
x356	0.41	0.41	
x357	0.41	0.41	
x365	0.41	0.41	
x369	0.41	0.41	
x383	0.41	0.41	
x385	0.41	0.41	
x387	0.41	0.41	
x396	0.41	0.41	
x399	0.41	0.41	
x401	0.41	0.41	
x406	0.41	0.41	
x407	0.41	0.41	
x410	0.41	0.41	
x433	0.41	0.41	
x441	0.41	0.41	
x444	0.41	0.41	
x447	0.41	0.41	
x461	0.41	0.41	
x465	0.41	0.41	
x472	0.41	0.41	
x474	0.41	0.41	
x482	0.41	0.41	
x485	0.41	0.41	
x486	0.41	0.41	
x495	0.41	0.41	
x501	0.41	0.41	
x502	0.41	0.41	
x512	0.41	0.41	
x513	0.41	0.41	
x515	0.41	0.41	
x536	0.41	0.41	
x540	0.41	0.41	
x544	0.41	0.41	
x546	0.41	0.41	
x548	0.41	0.41	
x557	0.41	0.41	
x561	0.41	0.41	
x562	0.41	0.41	
x563	0.41	0.41	
x570	0.41	0.41	
x576	0.41	0.41	
x580	0.41	0.41	
x585	0.41	0.41	
x586	0.41	0.41	
x605	0.41	0.41	
x611	0.41	0.41	
x613	0.41	0.41	
x628	0.41	0.41	
x644	0.41	0.41	
x645	0.41	0.41	
x648	0.41	0.41	
x649	0.41	0.41	
x652	0.41	0.41	
x654	0.41	0.41	
x659	0.41	0.41	
x665	0.41	0.41	
x666	0.41	0.41	
