Total of planted triclusters: 6
Number of planted numeric triclusters: 3
Number of planted symbolic triclusters: 2
Number of planted mixed triclusters: 1
Tricluster coverage: 10.395%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #2
 (247, 4, 2), X=[1,3,4,11,16,17,20,21,22,23,26,29,37,39,44,50,54,68,72,73,75,91,92,95,100,106,112,116,160,161,170,172,176,181,182,190,200,206,211,213,214,217,219,236,239,253,257,278,280,285,292,293,295,302,307,312,314,315,323,326,330,331,333,335,337,343,347,351,357,366,379,382,388,389,391,398,410,434,442,447,453,463,474,488,490,492,496,499,500,505,523,528,529,531,545,563,567,568,570,580,586,592,595,600,613,622,625,637,652,657,671,676,687,689,691,692,699,701,707,709,719,722,723,735,740,747,751,752,753,756,768,769,776,779,782,784,790,793,797,799,810,811,812,827,857,858,867,880,882,896,898,899,900,901,912,916,919,920,921,927,929,931,933,948,950,951,953,954,964,965,967,986,991,992,996,1001,1003,1006,1009,1017,1022,1023,1056,1057,1063,1064,1066,1080,1085,1100,1108,1113,1118,1122,1139,1141,1158,1170,1173,1176,1179,1181,1183,1189,1191,1193,1198,1203,1227,1231,1240,1245,1246,1255,1264,1269,1281,1286,1291,1306,1308,1319,1322,1335,1336,1341,1358,1361,1364,1383,1389,1392,1420,1423,1429,1430,1442,1447,1448,1454,1461,1466,1475,1484,1493,1497,1499], Y=[0,1,2,6], Z=[0,1], RowPattern=Constant, ColumnPattern=None, ContextPattern=Constant, %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y0	y1	y2	y6	
x1	5.77	8.51	5.77	1.59	
x3	5.77	8.51	5.77	1.59	
x4	5.77	8.51	5.77	1.59	
x11	5.77	8.51	5.77	1.59	
x16	5.77	8.51	5.77	1.59	
x17	5.77	8.51	5.77	1.59	
x20	5.77	8.51	5.77	1.59	
x21	5.77	8.51	5.77	1.59	
x22	5.77	8.51	5.77	1.59	
x23	5.77	8.51	5.77	1.59	
x26	5.77	8.51	5.77	1.59	
x29	5.77	8.51	5.77	1.59	
x37	5.77	8.51	5.77	1.59	
x39	5.77	8.51	5.77	1.59	
x44	5.77	8.51	5.77	1.59	
x50	5.77	8.51	5.77	1.59	
x54	5.77	8.51	5.77	1.59	
x68	5.77	8.51	5.77	1.59	
x72	5.77	8.51	5.77	1.59	
x73	5.77	8.51	5.77	1.59	
x75	5.77	8.51	5.77	1.59	
x91	5.77	8.51	5.77	1.59	
x92	5.77	8.51	5.77	1.59	
x95	5.77	8.51	5.77	1.59	
x100	5.77	8.51	5.77	1.59	
x106	5.77	8.51	5.77	1.59	
x112	5.77	8.51	5.77	1.59	
x116	5.77	8.51	5.77	1.59	
x160	5.77	8.51	5.77	1.59	
x161	5.77	8.51	5.77	1.59	
x170	5.77	8.51	5.77	1.59	
x172	5.77	8.51	5.77	1.59	
x176	5.77	8.51	5.77	1.59	
x181	5.77	8.51	5.77	1.59	
x182	5.77	8.51	5.77	1.59	
x190	5.77	8.51	5.77	1.59	
x200	5.77	8.51	5.77	1.59	
x206	5.77	8.51	5.77	1.59	
x211	5.77	8.51	5.77	1.59	
x213	5.77	8.51	5.77	1.59	
x214	5.77	8.51	5.77	1.59	
x217	5.77	8.51	5.77	1.59	
x219	5.77	8.51	5.77	1.59	
x236	5.77	8.51	5.77	1.59	
x239	5.77	8.51	5.77	1.59	
x253	5.77	8.51	5.77	1.59	
x257	5.77	8.51	5.77	1.59	
x278	5.77	8.51	5.77	1.59	
x280	5.77	8.51	5.77	1.59	
x285	5.77	8.51	5.77	1.59	
x292	5.77	8.51	5.77	1.59	
x293	5.77	8.51	5.77	1.59	
x295	5.77	8.51	5.77	1.59	
x302	5.77	8.51	5.77	1.59	
x307	5.77	8.51	5.77	1.59	
x312	5.77	8.51	5.77	1.59	
x314	5.77	8.51	5.77	1.59	
x315	5.77	8.51	5.77	1.59	
x323	5.77	8.51	5.77	1.59	
x326	5.77	8.51	5.77	1.59	
x330	5.77	8.51	5.77	1.59	
x331	5.77	8.51	5.77	1.59	
x333	5.77	8.51	5.77	1.59	
x335	5.77	8.51	5.77	1.59	
x337	5.77	8.51	5.77	1.59	
x343	5.77	8.51	5.77	1.59	
x347	5.77	8.51	5.77	1.59	
x351	5.77	8.51	5.77	1.59	
x357	5.77	8.51	5.77	1.59	
x366	5.77	8.51	5.77	1.59	
x379	5.77	8.51	5.77	1.59	
x382	5.77	8.51	5.77	1.59	
x388	5.77	8.51	5.77	1.59	
