Total of planted triclusters: 6
Number of planted numeric triclusters: 2
Number of planted symbolic triclusters: 1
Number of planted mixed triclusters: 3
Tricluster coverage: 10.796666666666667%
Missing values on dataset: 0.0%
Noise values on dataset: 0.0%
Errors on dataset: 0.0%


*** Numeric triclusters *** 

Tricluster #1
 (157, 4, 2), X=[23,24,28,30,36,40,45,87,90,91,113,116,122,123,125,127,141,146,152,153,183,186,187,202,205,211,216,234,241,248,271,273,285,298,318,331,337,347,363,389,440,441,456,459,466,467,473,480,499,506,508,514,517,530,533,543,549,554,567,574,602,611,615,624,636,645,649,676,685,696,699,700,703,729,753,780,781,800,802,811,817,818,850,853,887,895,896,897,907,909,918,923,950,951,960,961,969,980,982,988,990,994,1010,1037,1038,1044,1051,1054,1073,1080,1085,1092,1094,1096,1099,1100,1102,1116,1125,1127,1128,1130,1135,1137,1142,1156,1158,1160,1162,1197,1208,1224,1225,1245,1250,1252,1272,1285,1287,1290,1292,1293,1313,1321,1342,1361,1370,1378,1400,1407,1420,1422,1423,1425,1448,1465,1490], Y=[0,1,5,9], Z=[0,1], RowPattern=Constant, ColumnPattern=Constant, ContextPattern=Multiplicative, Seed=6.48,  RowFactors=[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1], ColumnFactors=[1,1,1,1], ContextFactors=[0.24,1.37] %Missings=0, %Noise=0, %Errors=0, PlaidCoherency=No Overlapping

Context: 0
X	y0	y1	y5	y9	
x23	1.56	1.56	1.56	1.56	
x24	1.56	1.56	1.56	1.56	
x28	1.56	1.56	1.56	1.56	
x30	1.56	1.56	1.56	1.56	
x36	1.56	1.56	1.56	1.56	
x40	1.56	1.56	1.56	1.56	
x45	1.56	1.56	1.56	1.56	
x87	1.56	1.56	1.56	1.56	
x90	1.56	1.56	1.56	1.56	
x91	1.56	1.56	1.56	1.56	
x113	1.56	1.56	1.56	1.56	
x116	1.56	1.56	1.56	1.56	
x122	1.56	1.56	1.56	1.56	
x123	1.56	1.56	1.56	1.56	
x125	1.56	1.56	1.56	1.56	
x127	1.56	1.56	1.56	1.56	
x141	1.56	1.56	1.56	1.56	
x146	1.56	1.56	1.56	1.56	
x152	1.56	1.56	1.56	1.56	
x153	1.56	1.56	1.56	1.56	
x183	1.56	1.56	1.56	1.56	
x186	1.56	1.56	1.56	1.56	
x187	1.56	1.56	1.56	1.56	
x202	1.56	1.56	1.56	1.56	
x205	1.56	1.56	1.56	1.56	
x211	1.56	1.56	1.56	1.56	
x216	1.56	1.56	1.56	1.56	
x234	1.56	1.56	1.56	1.56	
x241	1.56	1.56	1.56	1.56	
x248	1.56	1.56	1.56	1.56	
x271	1.56	1.56	1.56	1.56	
x273	1.56	1.56	1.56	1.56	
x285	1.56	1.56	1.56	1.56	
x298	1.56	1.56	1.56	1.56	
x318	1.56	1.56	1.56	1.56	
x331	1.56	1.56	1.56	1.56	
x337	1.56	1.56	1.56	1.56	
x347	1.56	1.56	1.56	1.56	
x363	1.56	1.56	1.56	1.56	
x389	1.56	1.56	1.56	1.56	
x440	1.56	1.56	1.56	1.56	
x441	1.56	1.56	1.56	1.56	
x456	1.56	1.56	1.56	1.56	
x459	1.56	1.56	1.56	1.56	
x466	1.56	1.56	1.56	1.56	
x467	1.56	1.56	1.56	1.56	
x473	1.56	1.56	1.56	1.56	
x480	1.56	1.56	1.56	1.56	
x499	1.56	1.56	1.56	1.56	
x506	1.56	1.56	1.56	1.56	
